SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
38,12.920618663368078,13.047893486599932,10.78519177426674,13.640075084680602,14.049384046571506,13.720531720366411,16.42252148436388,14.602929175349644,14.483598490358565,11.496535970917972,14.983232362070126,15.750541238823349,14.172871720164899,11.835372187594063,10.179289850934792,15.566281354068076,12.717380876192507
39,12.392449101548705,12.72143026908832,10.430943036777528,12.810153805131003,13.741575682604427,13.010328564594765,16.059160377735992,14.117163667564887,13.836561868913952,10.970072100385103,14.61466477342911,15.447700202252985,13.729167973263383,11.629308267534133,9.45373257707441,15.236787025298625,12.255845424254948
40,13.818449843368628,13.970684137247773,11.870824873864173,14.213436583010923,15.104626355375915,14.473941667107542,17.09863884761799,15.22525558826397,15.092141571250213,12.393207437104396,15.6996161404234,16.451714785645272,15.1580126039586,12.975073513292164,10.864645279742126,16.25660738958071,13.662277404066687
41,14.737704237418745,14.818429179405097,12.866436059802849,15.259047310522623,15.837294533600373,15.420779176967331,17.95191583994874,16.04714142424348,15.97887226231644,13.463150131951839,16.507501072078554,17.200760868527496,15.992438255479437,13.802278937851906,11.86237852766496,17.07030255927965,14.472149946040542
42,14.805515875932945,14.940192366091173,12.923158404596528,15.154924459443205,16.17644824253198,15.289123609596851,17.97422180620644,16.097593423115125,15.89986279771286,13.547714387375539,16.588798392770613,17.19799704753485,16.14600312225607,13.727073604967172,11.877283401082607,17.09036999583011,14.53835133492786
43,14.763723181585853,14.945651092610634,12.759577277910424,15.329382342000802,16.072916350205855,15.544438548327411,18.317951978900343,16.4582610917723,16.18329848612358,13.369332339755596,16.870122139967883,17.496802343898064,16.116364964573542,13.779873681736408,11.841904563986517,17.375172111936745,14.473287700000158
44,15.09061017216863,15.379354457082524,13.163493652927633,15.703865722914536,16.28102618045934,15.88999186389388,18.574594497680664,16.797177233440845,16.59072315091023,13.755697186183609,17.188794661831547,17.788434600213144,16.38181487792247,14.245892872593362,12.243565630854196,17.66655398023572,14.821158313584135
45,14.88610835965229,15.190435388377988,13.027885845686972,15.642514794979776,16.149460856990405,15.825428233005518,18.34902490454582,16.631824346487864,16.439680012816787,13.556871676010545,16.989130537355102,17.58857300273813,16.22839451370092,14.059322850820243,12.011820176755684,17.436404741178986,14.574701125608943
46,15.20627948292127,15.447389010417183,13.1759796439258,15.999378599013601,16.359747071326176,16.279304046164455,18.83756751736121,16.983056334834906,16.809408068162355,13.823701310200686,17.36472731828896,18.106673144985724,16.457127843455456,14.393508542671853,12.325552430353921,17.915029207143768,14.885134376991148
47,16.151149908087888,16.3461663236191,14.133695862151503,16.57251983648255,17.332269931951334,16.794331213338648,19.474396576061196,17.724597948663884,17.37787267404993,14.76906011890373,18.070469911682657,18.617725453852323,17.466746929124515,15.147110246274137,13.21628107704102,18.548557046490874,15.761218379861262
48,16.733608871739804,16.864504558851976,14.85783841898088,17.124217108715147,17.938025869627868,17.30869383668347,20.070450322231817,18.230159905857235,17.93636271441286,15.50041982739795,18.64573434154296,19.251947575952165,18.065672051234593,15.764725660566382,13.758001650996567,19.126874655333516,16.29983328258895
49,16.778349181412114,17.106833049442724,15.018104188558585,17.400823086783998,17.967715170032264,17.464720907984553,20.313337864333615,18.636412434565557,18.19940391949245,15.534894644090375,18.990577786697454,19.473807618174593,18.08995379922933,16.0148284541886,14.049181445525427,19.387323017456296,16.461573578379546
50,16.95053405788721,17.389855545161883,15.173737528977822,17.621398340350105,18.328815414095526,17.733489965441297,20.485020377489988,18.889703111009474,18.455253592825215,15.660764326056963,19.176338193158564,19.71317217778003,18.348303131081423,16.20647917327458,14.26692418831568,19.612558552094402,16.63185445396084
51,17.521920255172514,17.750017572374485,15.690634331385859,18.414403972370284,18.812724135629693,18.584617478212337,20.943333871023995,19.353251011776614,19.11635317255606,16.25141258800794,19.557872268313453,20.09544012218794,18.868766660948058,16.52942623247872,14.907972489807067,19.951666827267164,17.14706182586536
52,17.417899205810468,17.869748045671216,15.72776955742485,18.27686844885349,18.86938879807908,18.502910206523485,21.157304596303156,19.463364377663353,19.08769057268266,16.2020476674229,19.72681228429621,20.34739099785324,18.91508766634584,16.780670079532044,14.832010427721723,20.159708338250386,17.150031007730735
53,17.45207104014,18.13272246229115,16.058422995227147,18.180040468772255,18.614536715118554,18.287532266349253,21.295103534665124,19.610525374598318,18.934380144522382,16.542737737415344,19.92663010539431,20.601376853220547,18.601855735290926,17.057158352973012,14.856507660595373,20.43644328453303,17.271867109598176
