Focos,Temperatura,Precipitação,Focos_m1,Temperatura_m1,Precipitação_m1,Focos_m2,Temperatura_m2,Precipitação_m2,Focos_m3,Temperatura_m3,Precipitação_m3,Focos_m4,Temperatura_m4,Precipitação_m4,Categoria
1.0,18.6608,6875,0.0,16.432157142857143,26.5,0.0,17.473185714285712,13.25,0.0,17.449214285714284,9.75,0.0,16.773885714285715,22.5,1
0.0,17.287457142857143,12.5,1.0,18.6608,6875,0.0,16.432157142857143,26.5,0.0,17.473185714285712,13.25,0.0,17.449214285714284,9.75,1
1.0,18.484614285714287,65375,0.0,17.287457142857143,12.5,1.0,18.6608,6875,0.0,16.432157142857143,26.5,0.0,17.473185714285712,13.25,1
0.0,20.241942857142856,2.25,1.0,18.484614285714287,65375,0.0,17.287457142857143,12.5,1.0,18.6608,6875,0.0,16.432157142857143,26.5,1
1.0,20.39992857142857,20.5,0.0,20.241942857142856,2.25,1.0,18.484614285714287,65375,0.0,17.287457142857143,12.5,1.0,18.6608,6875,1
1.0,19.6889,36.25,1.0,20.39992857142857,20.5,0.0,20.241942857142856,2.25,1.0,18.484614285714287,65375,0.0,17.287457142857143,12.5,1
3.0,19.6348,70125,1.0,19.6889,36.25,1.0,20.39992857142857,20.5,0.0,20.241942857142856,2.25,1.0,18.484614285714287,65375,3
2.0,21.582914285714285,375,3.0,19.6348,70125,1.0,19.6889,36.25,1.0,20.39992857142857,20.5,0.0,20.241942857142856,2.25,2
1.0,22.31648571428571,76.0,2.0,21.582914285714285,375,3.0,19.6348,70125,1.0,19.6889,36.25,1.0,20.39992857142857,20.5,1
0.0,21.843714285714288,9.25,1.0,22.31648571428571,76.0,2.0,21.582914285714285,375,3.0,19.6348,70125,1.0,19.6889,36.25,1
1.0,23.72467142857143,2.5,0.0,21.843714285714288,9.25,1.0,22.31648571428571,76.0,2.0,21.582914285714285,375,3.0,19.6348,70125,1
4.0,22.959485714285712,21.75,1.0,23.72467142857143,2.5,0.0,21.843714285714288,9.25,1.0,22.31648571428571,76.0,2.0,21.582914285714285,375,3
