,Semana,Município,Focos,ponto
118,2012-04-01,SÃO MIGUEL DO OESTE,2,POINT (-53.51212123092325 -26.727236944731406)
119,2012-04-01,NAVEGANTES,1,POINT (-48.72739585880501 -26.82874286660231)
120,2012-04-01,SÃO JOSÉ,1,POINT (-48.65625577254402 -27.57847109713233)
121,2012-04-01,FLORIANÓPOLIS,7,POINT (-48.50819805014117 -27.577833913876493)
122,2012-04-01,CHAPECÓ,5,POINT (-52.6503387011512 -27.125143757264095)
123,2012-04-01,BLUMENAU,1,POINT (-49.09730924738388 -26.885766673711007)
124,2012-04-01,JOINVILLE,3,POINT (-48.95140521079262 -26.244282225607027)
125,2012-04-08,TUBARÃO,1,POINT (-49.03724862155106 -28.48158146246524)
126,2012-04-08,SÃO MIGUEL DO OESTE,3,POINT (-53.51212123092325 -26.727236944731406)
127,2012-04-08,JOINVILLE,4,POINT (-48.95140521079262 -26.244282225607027)
128,2012-04-08,JARAGUÁ DO SUL,1,POINT (-49.159974339900636 -26.481907693524388)
129,2012-04-08,FLORIANÓPOLIS,7,POINT (-48.50819805014117 -27.577833913876493)
130,2012-04-08,CRICIÚMA,1,POINT (-49.379715593390806 -28.715695317599724)
131,2012-04-08,CONCÓRDIA,1,POINT (-52.00738181173657 -27.23912654780915)
132,2012-04-08,CHAPECÓ,9,POINT (-52.6503387011512 -27.125143757264095)
133,2012-04-08,BALNEÁRIO CAMBORIÚ,2,POINT (-48.62174059290786 -27.004736811989282)
134,2012-04-15,SÃO JOSÉ DO CEDRO,5,POINT (-53.53373642407425 -26.48085134039229)
135,2012-04-15,SÃO MIGUEL DO OESTE,6,POINT (-53.51212123092325 -26.727236944731406)
136,2012-04-15,PIRATUBA,1,POINT (-51.77282038293217 -27.46121871446764)
137,2012-04-15,PINHALZINHO,3,POINT (-52.97663206995043 -26.829373480377633)
138,2012-04-15,JOINVILLE,12,POINT (-48.95140521079262 -26.244282225607027)
139,2012-04-15,BRUSQUE,1,POINT (-48.90974338759385 -27.125000077860673)
140,2012-04-15,CHAPECÓ,29,POINT (-52.6503387011512 -27.125143757264095)
141,2012-04-15,CANOINHAS,1,POINT (-50.53337070155689 -26.249950005908698)
142,2012-04-15,BLUMENAU,4,POINT (-49.09730924738388 -26.885766673711007)
143,2012-04-15,FLORIANÓPOLIS,11,POINT (-48.50819805014117 -27.577833913876493)
144,2012-04-22,SÃO MIGUEL DO OESTE,3,POINT (-53.51212123092325 -26.727236944731406)
145,2012-04-22,SÃO JOSÉ DO CEDRO,3,POINT (-53.53373642407425 -26.48085134039229)
146,2012-04-22,PORTO UNIÃO,1,POINT (-51.00778459817214 -26.38362840601625)
147,2012-04-22,POMERODE,1,POINT (-49.17330417894716 -26.728186239159662)
148,2012-04-22,PIRATUBA,1,POINT (-51.77282038293217 -27.46121871446764)
149,2012-04-22,PINHALZINHO,4,POINT (-52.97663206995043 -26.829373480377633)
150,2012-04-22,FLORIANÓPOLIS,6,POINT (-48.50819805014117 -27.577833913876493)
151,2012-04-22,GARUVA,1,POINT (-48.86732766109188 -26.05711167861282)
152,2012-04-22,CONCÓRDIA,1,POINT (-52.00738181173657 -27.23912654780915)
153,2012-04-22,CHAPECÓ,3,POINT (-52.6503387011512 -27.125143757264095)
154,2012-04-22,BRUSQUE,1,POINT (-48.90974338759385 -27.125000077860673)
155,2012-04-22,BLUMENAU,1,POINT (-49.09730924738388 -26.885766673711007)
156,2012-04-22,JOINVILLE,5,POINT (-48.95140521079262 -26.244282225607027)
157,2012-04-29,SÃO MIGUEL DO OESTE,1,POINT (-53.51212123092325 -26.727236944731406)
158,2012-04-29,PINHALZINHO,2,POINT (-52.97663206995043 -26.829373480377633)
159,2012-04-29,JOINVILLE,3,POINT (-48.95140521079262 -26.244282225607027)
160,2012-04-29,CRICIÚMA,1,POINT (-49.379715593390806 -28.715695317599724)
161,2012-04-29,JARAGUÁ DO SUL,1,POINT (-49.159974339900636 -26.481907693524388)
162,2012-04-29,CHAPECÓ,7,POINT (-52.6503387011512 -27.125143757264095)
163,2012-04-29,BRUSQUE,1,POINT (-48.90974338759385 -27.125000077860673)
164,2012-04-29,BARRA VELHA,1,POINT (-48.72738559449102 -26.662440609824166)
165,2012-04-29,BALNEÁRIO CAMBORIÚ,2,POINT (-48.62174059290786 -27.004736811989282)
166,2012-04-29,CONCÓRDIA,1,POINT (-52.00738181173657 -27.23912654780915)
167,2012-05-06,BLUMENAU,2,POINT (-49.09730924738388 -26.885766673711007)
168,2012-05-06,CHAPECÓ,12,POINT (-52.6503387011512 -27.125143757264095)
169,2012-05-06,JAGUARUNA,1,POINT (-49.04474831889522 -28.657895860293902)
170,2012-05-06,SÃO MIGUEL DO OESTE,1,POINT (-53.51212123092325 -26.727236944731406)
171,2012-05-06,TIJUCAS,4,POINT (-48.70088637061579 -27.247563296595885)
172,2012-05-06,XAXIM,1,POINT (-52.52910542362624 -26.97030880074372)
173,2012-05-13,SÃO JOSÉ DO CEDRO,1,POINT (-53.53373642407425 -26.48085134039229)
174,2012-05-13,SÃO JOSÉ,1,POINT (-48.65625577254402 -27.57847109713233)
175,2012-05-13,PINHALZINHO,1,POINT (-52.97663206995043 -26.829373480377633)
176,2012-05-13,JOINVILLE,1,POINT (-48.95140521079262 -26.244282225607027)
177,2012-05-13,GAROPABA,3,POINT (-48.65893578099145 -28.046733934256846)
178,2012-05-13,FLORIANÓPOLIS,6,POINT (-48.50819805014117 -27.577833913876493)
179,2012-05-13,CONCÓRDIA,1,POINT (-52.00738181173657 -27.23912654780915)
180,2012-05-13,GUARAMIRIM,1,POINT (-48.94488242157447 -26.47655093499799)
181,2012-05-20,SÃO BENTO DO SUL,1,POINT (-49.34998168331938 -26.294901587995746)
182,2012-05-20,PORTO BELO,1,POINT (-48.61643450369326 -27.174795882021932)
183,2012-05-20,JOINVILLE,2,POINT (-48.95140521079262 -26.244282225607027)
184,2012-05-20,GAROPABA,3,POINT (-48.65893578099145 -28.046733934256846)
185,2012-05-20,SÃO MIGUEL DO OESTE,3,POINT (-53.51212123092325 -26.727236944731406)
186,2012-05-20,CONCÓRDIA,2,POINT (-52.00738181173657 -27.23912654780915)
187,2012-05-20,CHAPECÓ,5,POINT (-52.6503387011512 -27.125143757264095)
188,2012-05-20,BLUMENAU,4,POINT (-49.09730924738388 -26.885766673711007)
189,2012-05-20,FLORIANÓPOLIS,8,POINT (-48.50819805014117 -27.577833913876493)
190,2012-05-27,BLUMENAU,1,POINT (-49.09730924738388 -26.885766673711007)
191,2012-05-27,BOMBINHAS,1,POINT (-48.51748707787348 -27.17325633187103)
192,2012-05-27,CHAPECÓ,15,POINT (-52.6503387011512 -27.125143757264095)
193,2012-05-27,CRICIÚMA,1,POINT (-49.379715593390806 -28.715695317599724)
194,2012-05-27,GASPAR,1,POINT (-48.96603277755912 -26.931342854989225)
195,2012-05-27,JOINVILLE,1,POINT (-48.95140521079262 -26.244282225607027)
196,2012-05-27,SÃO MIGUEL DO OESTE,2,POINT (-53.51212123092325 -26.727236944731406)
197,2012-05-27,TIJUCAS,1,POINT (-48.70088637061579 -27.247563296595885)
198,2012-05-27,XANXERÊ,1,POINT (-52.409753977893864 -26.87227935615384)
199,2012-06-03,JOINVILLE,3,POINT (-48.95140521079262 -26.244282225607027)
200,2012-06-03,GUARAMIRIM,1,POINT (-48.94488242157447 -26.47655093499799)
201,2012-06-03,CHAPECÓ,2,POINT (-52.6503387011512 -27.125143757264095)
202,2012-06-03,BALNEÁRIO CAMBORIÚ,1,POINT (-48.62174059290786 -27.004736811989282)
203,2012-06-10,BALNEÁRIO CAMBORIÚ,1,POINT (-48.62174059290786 -27.004736811989282)
204,2012-06-10,CHAPECÓ,9,POINT (-52.6503387011512 -27.125143757264095)
205,2012-06-10,COCAL DO SUL,1,POINT (-49.3339303801786 -28.59869687778446)
206,2012-06-10,GARUVA,1,POINT (-48.86732766109188 -26.05711167861282)
