Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 02/07/2022 a 31/12/2022,,,,,,
Atualizado em 27/06/2023,,,,,,
Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Nº Foco
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290965/22
Araranguá,SOMBRIO,Residência,C - Depósitos Fixos,Delimitação de Foco,28/12/2022,DF 290963/22
Araranguá,SOMBRIO,Outros,ARM - Armadilha,Armadilha,21/12/2022,ARM 290960/22
Araranguá,SOMBRIO,Residência,ARM - Armadilha,Armadilha,21/12/2022,ARM 290959/22
Araranguá,SOMBRIO,Outros,ARM - Armadilha,Armadilha,26/12/2022,ARM 290958/22
Araranguá,PASSO DE TORRES,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Revisão da Área,26/12/2022,RA 290957/22
Araranguá,PASSO DE TORRES,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290956/22
Araranguá,PASSO DE TORRES,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 290955/22
Itajaí,BOMBINHAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290945/22
Itajaí,BOMBINHAS,Outros,ARM - Armadilha,Armadilha,26/12/2022,ARM 290944/22
Itajaí,BOMBINHAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290943/22
Itajaí,BOMBINHAS,Residência,ARM - Armadilha,Armadilha,27/12/2022,ARM 290942/22
Itajaí,BOMBINHAS,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 290941/22
Itajaí,BOMBINHAS,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 290940/22
Jaraguá do Sul,JARAGUÁ DO SUL,Outros,ARM - Armadilha,Armadilha,29/12/2022,ARM 290936/22
Jaraguá do Sul,JARAGUÁ DO SUL,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 290935/22
Jaraguá do Sul,JARAGUÁ DO SUL,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 290934/22
Jaraguá do Sul,JARAGUÁ DO SUL,Outros,ARM - Armadilha,Armadilha,29/12/2022,ARM 290932/22
Jaraguá do Sul,JARAGUÁ DO SUL,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290929/22
