Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,,
Período: de 01/08/2024 a 31/12/2024,,,,,,,,,,,,,,
Atualizado em 29/04/2025,,,,,,,,,,,,,,
Nº Foco,Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 436791/24,São Miguel do Oeste,FLOR DO SERTÃO,CENTRO,Outros,ARM - Armadilha,Armadilha,23/12/2024,07/01/2025,07/01/2025,10,0,0,0,0
ARM 436752/24,Xanxerê,SÃO DOMINGOS,ARI BORTOLI,Outros,ARM - Armadilha,Armadilha,24/12/2024,07/01/2025,07/01/2025,5,0,0,0,0
ARM 436751/24,Xanxerê,SÃO DOMINGOS,ARI BORTOLI,Comércio,ARM - Armadilha,Armadilha,24/12/2024,07/01/2025,07/01/2025,7,0,0,0,0
ARM 436750/24,Xanxerê,SÃO DOMINGOS,ABRAMO MIGUEL PRETTO,Outros,ARM - Armadilha,Armadilha,24/12/2024,07/01/2025,07/01/2025,4,0,0,0,0
PE 436747/24,Xanxerê,XAXIM,ÁREA INDUSTRIAL,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,17/12/2024,07/01/2025,07/01/2025,10,0,0,0,0
PE 436745/24,Xanxerê,XAXIM,ÁREA INDUSTRIAL,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,17/12/2024,07/01/2025,07/01/2025,10,0,0,0,0
PE 436743/24,Xanxerê,XAXIM,VILA DIADEMA,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,18/12/2024,07/01/2025,07/01/2025,5,0,0,0,0
ARM 436742/24,Xanxerê,XAXIM,ALVORADA,Residência,ARM - Armadilha,Armadilha,16/12/2024,07/01/2025,07/01/2025,46,0,0,0,0
ARM 436740/24,Xanxerê,XAXIM,PRIMAVERA,Residência,ARM - Armadilha,Armadilha,16/12/2024,07/01/2025,07/01/2025,36,0,0,0,0
ARM 436739/24,Chapecó,ÁGUAS FRIAS,CENTRO,Outros,ARM - Armadilha,Armadilha,30/12/2024,07/01/2025,07/01/2025,11,0,3,0,0
ARM 436738/24,Chapecó,ÁGUAS FRIAS,CENTRO,Outros,ARM - Armadilha,Armadilha,30/12/2024,07/01/2025,07/01/2025,10,0,0,0,0
ARM 436737/24,Chapecó,ÁGUAS FRIAS,CENTRO,Outros,ARM - Armadilha,Armadilha,23/12/2024,07/01/2025,07/01/2025,1,0,3,0,0
ARM 436736/24,Concórdia,IPUMIRIM,CENTRO,Outros,ARM - Armadilha,Armadilha,30/12/2024,02/01/2025,06/01/2025,4,0,0,0,0
ARM 436735/24,Xanxerê,XAXIM,DIADEMA,Comércio,ARM - Armadilha,Armadilha,16/12/2024,07/01/2025,07/01/2025,7,0,0,0,0
ARM 436734/24,Xanxerê,XAXIM,SANTA TERESINHA,Residência,ARM - Armadilha,Armadilha,16/12/2024,07/01/2025,07/01/2025,38,0,0,0,0
