Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,
Período: de 01/01/2014 a 31/12/2014,,,,,
Atualizado em 26/05/2023,,,,,
Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Itajaí,ITAJAÍ,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,28/04/2014
Chapecó,CHAPECÓ,Outros,ARM - Armadilha,,27/02/2014
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,16/12/2014
Joinville,JOINVILLE,Comércio,ARM - Armadilha,,04/04/2014
Joinville,JOINVILLE,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,16/12/2014
Tubarão,IMBITUBA,Outros,ARM - Armadilha,Armadilha,17/12/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,Armadilha,05/11/2014
Itajaí,CAMBORIÚ,Residência,ARM - Armadilha,Armadilha,23/12/2014
Itajaí,ITAJAÍ,Residência,B - Pequenos depósitos móveis,,29/07/2014
Chapecó,CHAPECÓ,Outros,ARM - Armadilha,,13/02/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,29/01/2014
São José,SÃO JOSÉ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,02/05/2014
Chapecó,CHAPECÓ,Outros,A2 - Outros depósitos de armazenamento de água,LIRAa,17/03/2014
Chapecó,CHAPECÓ,Residência,ARM - Armadilha,,27/05/2014
São Miguel do Oeste,MARAVILHA,Comércio,ARM - Armadilha,Armadilha,18/12/2014
Chapecó,CHAPECÓ,Terreno baldio,A2 - Outros depósitos de armazenamento de água,LIRAa,18/03/2014
Joaçaba,CAPINZAL,Residência,ARM - Armadilha,Armadilha,15/12/2014
Joinville,ITAPOÁ,Outros,ARM - Armadilha,Armadilha,22/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,12/11/2014
Jaraguá do Sul,GUARAMIRIM,Residência,ARM - Armadilha,Armadilha,18/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,03/02/2014
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,,10/04/2014
Joinville,JOINVILLE,Residência,B - Pequenos depósitos móveis,,11/03/2014
Itajaí,ITAJAÍ,Residência,C - Depósitos Fixos,Delimitação de Foco,08/10/2014
Xanxerê,XAXIM,Residência,ARM - Armadilha,,18/03/2014
Chapecó,CHAPECÓ,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,20/05/2014
Jaraguá do Sul,JARAGUÁ DO SUL,Comércio,ARM - Armadilha,Armadilha,23/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,06/03/2014
São Miguel do Oeste,MARAVILHA,Residência,ARM - Armadilha,Armadilha,16/12/2014
Chapecó,CHAPECÓ,Residência,B - Pequenos depósitos móveis,,12/02/2014
Chapecó,CHAPECÓ,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,02/12/2014
São Miguel do Oeste,MARAVILHA,Comércio,ARM - Armadilha,Armadilha,29/12/2014
Chapecó,CHAPECÓ,Residência,ARM - Armadilha,Armadilha,05/11/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,06/02/2014
Jaraguá do Sul,JARAGUÁ DO SUL,Ponto Estratégico,ARM - Armadilha,Armadilha,17/12/2014
