Semana,Município,Casos
2021-01-10,ABDON BATISTA,0
2021-01-17,ABDON BATISTA,0
2021-01-24,ABDON BATISTA,0
2021-01-31,ABDON BATISTA,0
2021-02-07,ABDON BATISTA,0
2021-02-14,ABDON BATISTA,0
2021-02-21,ABDON BATISTA,0
2021-02-28,ABDON BATISTA,0
2021-03-07,ABDON BATISTA,0
2021-03-14,ABDON BATISTA,0
2021-03-21,ABDON BATISTA,0
2021-03-28,ABDON BATISTA,0
2021-04-04,ABDON BATISTA,0
2021-04-11,ABDON BATISTA,0
2021-04-18,ABDON BATISTA,0
2021-04-25,ABDON BATISTA,0
2021-05-02,ABDON BATISTA,0
2021-05-09,ABDON BATISTA,0
2021-05-16,ABDON BATISTA,0
2021-05-23,ABDON BATISTA,0
2021-05-30,ABDON BATISTA,0
2021-06-06,ABDON BATISTA,0
2021-06-13,ABDON BATISTA,0
2021-06-20,ABDON BATISTA,0
2021-06-27,ABDON BATISTA,0
2021-07-04,ABDON BATISTA,0
2021-07-11,ABDON BATISTA,0
2021-07-18,ABDON BATISTA,0
2021-07-25,ABDON BATISTA,0
2021-08-01,ABDON BATISTA,0
2021-08-08,ABDON BATISTA,0
2021-08-15,ABDON BATISTA,0
2021-08-22,ABDON BATISTA,0
2021-08-29,ABDON BATISTA,0
2021-09-05,ABDON BATISTA,0
2021-09-12,ABDON BATISTA,0
2021-09-19,ABDON BATISTA,0
2021-09-26,ABDON BATISTA,0
2021-10-03,ABDON BATISTA,0
2021-10-10,ABDON BATISTA,0
2021-10-17,ABDON BATISTA,0
2021-10-24,ABDON BATISTA,0
2021-10-31,ABDON BATISTA,0
2021-11-07,ABDON BATISTA,0
2021-11-14,ABDON BATISTA,0
2021-11-21,ABDON BATISTA,0
2021-11-28,ABDON BATISTA,0
2021-12-05,ABDON BATISTA,0
2021-12-12,ABDON BATISTA,0
2021-12-19,ABDON BATISTA,0
2021-12-26,ABDON BATISTA,0
2022-01-02,ABDON BATISTA,0
2022-01-09,ABDON BATISTA,0
2022-01-16,ABDON BATISTA,0
2022-01-23,ABDON BATISTA,0
2022-01-30,ABDON BATISTA,0
2022-02-06,ABDON BATISTA,0
2022-02-13,ABDON BATISTA,0
2022-02-20,ABDON BATISTA,0
2022-02-27,ABDON BATISTA,0
2022-03-06,ABDON BATISTA,0
2022-03-13,ABDON BATISTA,0
2022-03-20,ABDON BATISTA,0
2022-03-27,ABDON BATISTA,0
2022-04-03,ABDON BATISTA,0
2022-04-10,ABDON BATISTA,0
2022-04-17,ABDON BATISTA,0
2022-04-24,ABDON BATISTA,0
2022-05-01,ABDON BATISTA,0
2022-05-08,ABDON BATISTA,0
2022-05-15,ABDON BATISTA,0
2022-05-22,ABDON BATISTA,0
2022-05-29,ABDON BATISTA,0
2022-06-05,ABDON BATISTA,0
2022-06-12,ABDON BATISTA,0
2022-06-19,ABDON BATISTA,0
2022-06-26,ABDON BATISTA,0
2022-07-03,ABDON BATISTA,0
2022-07-10,ABDON BATISTA,0
2022-07-17,ABDON BATISTA,0
2022-07-24,ABDON BATISTA,0
2022-07-31,ABDON BATISTA,0
2022-08-07,ABDON BATISTA,0
2022-08-14,ABDON BATISTA,0
2022-08-21,ABDON BATISTA,0
2022-08-28,ABDON BATISTA,0
2022-09-04,ABDON BATISTA,0
2022-09-11,ABDON BATISTA,0
2022-09-18,ABDON BATISTA,0
2022-09-25,ABDON BATISTA,0
2022-10-02,ABDON BATISTA,0
2022-10-09,ABDON BATISTA,0
2022-10-16,ABDON BATISTA,0
2022-10-23,ABDON BATISTA,0
2022-10-30,ABDON BATISTA,0
2022-11-06,ABDON BATISTA,0
2022-11-13,ABDON BATISTA,0
2022-11-20,ABDON BATISTA,0
2022-11-27,ABDON BATISTA,0
2022-12-04,ABDON BATISTA,0
2022-12-11,ABDON BATISTA,0
2022-12-18,ABDON BATISTA,0
2022-12-25,ABDON BATISTA,0
2023-01-01,ABDON BATISTA,0
2023-01-08,ABDON BATISTA,0
2023-01-15,ABDON BATISTA,0
2023-01-22,ABDON BATISTA,0
2023-01-29,ABDON BATISTA,0
2023-02-05,ABDON BATISTA,0
2023-02-12,ABDON BATISTA,0
2023-02-19,ABDON BATISTA,0
2023-02-26,ABDON BATISTA,0
2023-03-05,ABDON BATISTA,0
2023-03-12,ABDON BATISTA,0
2023-03-19,ABDON BATISTA,0
2023-03-26,ABDON BATISTA,0
2023-04-02,ABDON BATISTA,0
2023-04-09,ABDON BATISTA,0
2023-04-16,ABDON BATISTA,0
2023-04-23,ABDON BATISTA,0
2023-04-30,ABDON BATISTA,0
2023-05-07,ABDON BATISTA,0
2023-05-14,ABDON BATISTA,0
2023-05-21,ABDON BATISTA,0
2023-05-28,ABDON BATISTA,0
2023-06-04,ABDON BATISTA,0
2023-06-11,ABDON BATISTA,0
2023-06-18,ABDON BATISTA,0
2023-06-25,ABDON BATISTA,0
2023-07-02,ABDON BATISTA,0
2023-07-09,ABDON BATISTA,0
2023-07-16,ABDON BATISTA,0
2023-07-23,ABDON BATISTA,0
2023-07-30,ABDON BATISTA,0
2023-08-06,ABDON BATISTA,0
2023-08-13,ABDON BATISTA,0
2023-08-20,ABDON BATISTA,0
2023-08-27,ABDON BATISTA,0
2023-09-03,ABDON BATISTA,0
2023-09-10,ABDON BATISTA,0
2023-09-17,ABDON BATISTA,0
2023-09-24,ABDON BATISTA,0
2023-10-01,ABDON BATISTA,0
2023-10-08,ABDON BATISTA,0
2023-10-15,ABDON BATISTA,0
2023-10-22,ABDON BATISTA,0
2023-10-29,ABDON BATISTA,0
2023-11-05,ABDON BATISTA,0
2023-11-12,ABDON BATISTA,0
2023-11-19,ABDON BATISTA,0
2023-11-26,ABDON BATISTA,0
2023-12-03,ABDON BATISTA,0
2023-12-10,ABDON BATISTA,0
2023-12-17,ABDON BATISTA,0
2023-12-24,ABDON BATISTA,0
2023-12-31,ABDON BATISTA,0
2024-01-07,ABDON BATISTA,0
2024-01-14,ABDON BATISTA,0
2024-01-21,ABDON BATISTA,0
2024-01-28,ABDON BATISTA,0
2024-02-04,ABDON BATISTA,0
2024-02-11,ABDON BATISTA,0
2024-02-18,ABDON BATISTA,0
2024-02-25,ABDON BATISTA,0
2024-03-03,ABDON BATISTA,0
2024-03-10,ABDON BATISTA,0
2024-03-17,ABDON BATISTA,0
2024-03-24,ABDON BATISTA,0
2024-03-31,ABDON BATISTA,0
2024-04-07,ABDON BATISTA,1
2024-04-14,ABDON BATISTA,0
2024-04-21,ABDON BATISTA,0
