Semana,Município,Focos,latitude,longitude
2022-04-03,MATOS COSTA,1,-26.481287587029858,-51.14183006698014
2023-02-26,SANTA TEREZINHA,1,-26.667602877876757,-50.00529593803346
2023-03-19,ANITÁPOLIS,1,-27.879775975302707,-49.13875010333535
2023-03-26,SANTA CECÍLIA,1,-26.926037999151447,-50.44624009169733
2023-05-07,ABDON BATISTA,1,-27.583824901720693,-51.0562628309725
2023-12-10,PEDRAS GRANDES,1,-28.47942090733158,-49.20447504744034
2023-12-31,ANITA GARIBALDI,1,-27.730321792809924,-51.07955798426662
2024-02-11,RIO FORTUNA,1,-28.09342423824744,-49.19056685602841
2024-02-18,MONTE CARLO,1,-27.1937349107742,-50.92753484296082
2024-02-18,VARGEM,2,-27.46687704848312,-50.95046385540894
2024-02-25,ALFREDO WAGNER,1,-27.70594673424535,-49.3307510700746
2024-03-03,BRUNÓPOLIS,1,-27.346967886467382,-50.84496052789365
2024-03-31,BELA VISTA DO TOLDO,2,-26.41807905207535,-50.486844299810116
2024-03-31,TIMBÓ GRANDE,1,-26.624253499023233,-50.66563354765527
2024-06-02,OTACÍLIO COSTA,1,-27.517214351001314,-49.97162825462502
