Semana,casos,focos,tmin,tmed,tmax,prec
2016-02-28,0.0,11.0,19.492662702287948,23.29746409824916,27.36904661996024,128.25
2016-03-06,0.0,14.0,20.79495484488351,24.249059677124023,28.038122177124023,107.0
2016-03-13,0.0,8.0,21.038113730294363,24.647033418927872,28.455488477434432,0.625
2016-03-20,1.0,0.0,21.39666829790388,24.05357905796596,28.13304192679269,80.125
2016-03-27,3.0,8.0,20.51258768354144,24.55515044076102,29.19318335396903,21.0
2016-04-03,1.0,9.0,23.410515921456472,25.94895444597517,29.644070761544363,10.5
2016-04-10,3.0,31.0,22.6817730494908,24.93163245064872,28.128549575805664,42.5
2016-04-17,0.0,14.0,23.38431303841727,26.42590795244489,30.968184879847936,24.75
2016-04-24,0.0,14.0,15.99583271571568,19.250953674316406,23.271872656685964,35.375
2016-05-01,0.0,12.0,14.18115166255406,18.08246667044504,22.466905321393693,1.875
2016-05-08,1.0,15.0,17.712849072047643,19.907769066946848,22.61914389474052,6.6875
2016-05-15,0.0,13.0,13.157789502825056,16.49599702017648,20.08871296473912,29.375
2016-05-22,0.0,1.0,14.051078387669154,17.18607916150774,20.784783499581472,19.8125
2016-05-29,0.0,5.0,14.646041461399625,16.692376954214915,20.143090656825475,13.375
2016-06-05,0.0,2.0,8.172531127929688,12.03469249180385,16.863027572631836,0.375
2016-06-12,0.0,1.0,9.283323628561837,13.381967544555664,18.69801494053432,24.375
2016-06-19,0.0,1.0,11.053613458360944,13.78705188206264,17.249104499816895,15.125
2016-06-26,0.0,2.0,13.89139951978411,16.2467622756958,20.27831322806222,0.0
2016-07-03,0.0,2.0,13.029412610190256,16.139504977634974,20.473914282662527,0.0
2016-07-10,0.0,3.0,15.391233171735491,17.650393077305385,21.312266486031668,104.5
2016-07-17,0.0,2.0,8.116791316441127,12.054286684308734,16.909798894609725,0.875
2016-07-24,0.0,0.0,11.897506850106376,15.762600081307548,20.81479290553502,0.5
2016-07-31,0.0,1.0,15.718388148716516,18.23022828783308,22.543522426060267,8.0
2016-08-07,0.0,0.0,11.560924666268486,15.3097505569458,19.4414473942348,21.25
2016-08-14,0.0,0.0,13.995423725673133,17.315084321158274,22.364463261195592,35.75
2016-08-21,0.0,0.0,11.672860554286412,15.6107394354684,20.782842091151647,22.0
2016-08-28,0.0,5.0,16.220528057643346,19.014779499598912,23.027383259364537,3.75
2016-09-04,0.0,2.0,14.258294105529783,18.323277064732142,23.03007180350168,96.5
2016-09-11,0.0,2.0,16.29555688585554,19.751705987112864,24.658501761300226,0.125
2016-09-18,0.0,0.0,15.17275973728725,18.23859759739467,22.326690946306503,5.5
2016-09-25,0.0,1.0,12.96467890058245,17.07059873853411,21.496216910226003,0.0
2016-10-02,0.0,1.0,15.18200819832938,17.768260138375418,21.235525676182338,49.5
2016-10-09,0.0,0.0,17.00386565072196,19.70024626595633,23.253722872052872,17.625
2016-10-16,0.0,0.0,19.18366255078997,21.96484320504325,25.906920296805247,43.5
2016-10-23,0.0,1.0,17.970138822283065,20.72166170392717,24.06185340881348,81.625
2016-10-30,0.0,0.0,17.85244505746024,20.87966101510184,24.966228485107425,0.25
