Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/04/2024 a 31/07/2024,,,,,,,,,,,,,
Atualizado em 29/04/2025,,,,,,,,,,,,,
Nº Foco,Regional,Município,Localidade,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
DF 416517/24,São José,GAROPABA,CANTO DA PENHA,ARM - Armadilha,Delimitação de Foco,17/06/2024,17/06/2024,17/06/2024,8,0,1,0,0
ARM 416500/24,Blumenau,GASPAR,BATEIAS,ARM - Armadilha,Armadilha,31/07/2024,07/08/2024,07/08/2024,3,0,0,0,0
ARM 416496/24,Itajaí,ITAPEMA,CANTO DA PRAIA,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,1,0,0,0,0
ARM 416495/24,Itajaí,ITAPEMA,ALTO SÃO BENTO,ARM - Armadilha,Armadilha,30/07/2024,02/08/2024,02/08/2024,1,0,0,0,0
ARM 416485/24,Itajaí,ITAPEMA,MEIA PRAIA,ARM - Armadilha,Armadilha,30/07/2024,02/08/2024,02/08/2024,1,0,0,0,0
ARM 416484/24,Itajaí,ITAPEMA,MORRETES,ARM - Armadilha,Armadilha,30/07/2024,02/08/2024,02/08/2024,2,0,0,0,0
ARM 416483/24,Itajaí,ITAPEMA,MORRETES,ARM - Armadilha,Armadilha,29/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
ARM 416399/24,Joaçaba,JABORÁ,CENTRO,ARM - Armadilha,Armadilha,31/07/2024,06/08/2024,06/08/2024,2,0,0,0,0
ID 416374/24,São José,FLORIANÓPOLIS,CAMPECHE,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Investigação de Denúncia,31/07/2024,06/08/2024,06/08/2024,3,0,0,0,0
ID 416373/24,São José,FLORIANÓPOLIS,CAMPECHE,D1 - Pneus e outros materiais rodantes,Investigação de Denúncia,30/07/2024,06/08/2024,06/08/2024,2,0,0,0,0
ID 416367/24,São José,FLORIANÓPOLIS,CAMPECHE,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Investigação de Denúncia,31/07/2024,06/08/2024,06/08/2024,4,0,0,0,0
ARM 416355/24,São Miguel do Oeste,MARAVILHA,PADRE ANTONIO,ARM - Armadilha,Armadilha,29/07/2024,05/08/2024,05/08/2024,2,0,0,0,0
ID 416350/24,São José,FLORIANÓPOLIS,CAPOEIRAS,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Investigação de Denúncia,31/07/2024,06/08/2024,06/08/2024,13,0,0,0,0
ID 416349/24,São José,FLORIANÓPOLIS,CAPOEIRAS,B - Pequenos depósitos móveis,Investigação de Denúncia,31/07/2024,06/08/2024,06/08/2024,11,0,0,0,0
ID 416346/24,São José,FLORIANÓPOLIS,CAPOEIRAS,B - Pequenos depósitos móveis,Investigação de Denúncia,31/07/2024,06/08/2024,06/08/2024,10,0,0,0,0
ARM 416344/24,São Miguel do Oeste,MARAVILHA,TOPE DA SERRA,ARM - Armadilha,Armadilha,29/07/2024,05/08/2024,05/08/2024,3,0,0,0,0
ID 416343/24,São José,FLORIANÓPOLIS,CAPOEIRAS,B - Pequenos depósitos móveis,Investigação de Denúncia,30/07/2024,06/08/2024,06/08/2024,4,0,0,0,0
ID 416342/24,São José,FLORIANÓPOLIS,CAPOEIRAS,D1 - Pneus e outros materiais rodantes,Investigação de Denúncia,31/07/2024,06/08/2024,06/08/2024,2,0,0,0,0
ID 416341/24,São José,FLORIANÓPOLIS,CAPOEIRAS,B - Pequenos depósitos móveis,Investigação de Denúncia,31/07/2024,06/08/2024,06/08/2024,1,0,0,0,0
PE 416338/24,São Miguel do Oeste,MARAVILHA,FREI DAMIÃO,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,31/07/2024,05/08/2024,05/08/2024,5,0,0,0,0
PE 416335/24,São José,FLORIANÓPOLIS,JURERE TRADICIONAL,B - Pequenos depósitos móveis,Ponto Estratégico,31/07/2024,06/08/2024,06/08/2024,34,0,0,0,0
PE 416334/24,São José,FLORIANÓPOLIS,JURERE TRADICIONAL,B - Pequenos depósitos móveis,Ponto Estratégico,31/07/2024,06/08/2024,06/08/2024,1,0,0,0,0
DF 416308/24,São José,GAROPABA,CENTRO,ARM - Armadilha,Delimitação de Foco,06/06/2024,06/06/2024,06/06/2024,5,0,0,0,0
ARM 416307/24,Araranguá,SOMBRIO,SÃO FRANCISCO,ARM - Armadilha,Armadilha,31/07/2024,05/08/2024,05/08/2024,18,0,0,0,0
ARM 416306/24,Araranguá,SOMBRIO,SÃO FRANCISCO,ARM - Armadilha,Armadilha,31/07/2024,05/08/2024,05/08/2024,38,0,0,0,0
ARM 416305/24,Araranguá,SOMBRIO,PARQUE DAS AVENIDAS,ARM - Armadilha,Armadilha,31/07/2024,05/08/2024,05/08/2024,7,0,0,0,0
ARM 416304/24,Araranguá,SOMBRIO,PARQUE DAS AVENIDAS,ARM - Armadilha,Armadilha,31/07/2024,05/08/2024,05/08/2024,1,0,0,0,0
ARM 416303/24,Araranguá,SOMBRIO,PARQUE DAS AVENIDAS,ARM - Armadilha,Armadilha,31/07/2024,05/08/2024,05/08/2024,53,0,0,0,0
ARM 416302/24,Araranguá,SOMBRIO,PARQUE DAS AVENIDAS,ARM - Armadilha,Armadilha,31/07/2024,05/08/2024,05/08/2024,6,0,0,0,0
ARM 416301/24,São José,NOVA TRENTO,TRINTA REIS,ARM - Armadilha,Armadilha,31/07/2024,05/08/2024,05/08/2024,1,0,0,0,0
ARM 416300/24,Xanxerê,CAMPO ERÊ,CENTRO,ARM - Armadilha,Armadilha,31/07/2024,05/08/2024,05/08/2024,3,0,0,0,0
ARM 416299/24,Xanxerê,XAXIM,CENTRO,ARM - Armadilha,Armadilha,31/07/2024,05/08/2024,05/08/2024,1,0,0,0,0
ARM 416298/24,Xanxerê,SÃO LOURENÇO DO OESTE,SANTA CATARINA,ARM - Armadilha,Armadilha,30/07/2024,05/08/2024,05/08/2024,1,0,0,0,0
ARM 416297/24,Xanxerê,SÃO LOURENÇO DO OESTE,PROGRESSO,ARM - Armadilha,Armadilha,30/07/2024,05/08/2024,05/08/2024,2,0,0,0,0
ARM 416290/24,Blumenau,POMERODE,RIBEIRAO SOLTO,ARM - Armadilha,Armadilha,29/07/2024,01/08/2024,05/08/2024,2,0,0,0,0
ARM 416270/24,Joinville,SÃO FRANCISCO DO SUL,ROCIO PEQUENO,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,31/07/2024,5,0,0,0,0
ARM 416268/24,Joinville,SÃO FRANCISCO DO SUL,MORRO GRANDE,ARM - Armadilha,Armadilha,29/07/2024,29/07/2024,29/07/2024,6,0,0,0,0
ARM 416267/24,Itajaí,PENHA,CENTRO,ARM - Armadilha,Armadilha,31/07/2024,03/08/2024,03/08/2024,1,0,0,0,0
ARM 416266/24,Itajaí,PENHA,CENTRO,ARM - Armadilha,Armadilha,31/07/2024,03/08/2024,03/08/2024,4,0,0,0,0
ARM 416265/24,Itajaí,PENHA,CENTRO,ARM - Armadilha,Armadilha,31/07/2024,03/08/2024,03/08/2024,7,0,0,0,0
ARM 416264/24,Itajaí,PENHA,PRAIA DA ARMACAO,ARM - Armadilha,Armadilha,30/07/2024,03/08/2024,03/08/2024,2,0,0,0,0
ARM 416263/24,Itajaí,PENHA,PRAIA DA ARMACAO,ARM - Armadilha,Armadilha,30/07/2024,03/08/2024,03/08/2024,9,0,0,0,0
ARM 416262/24,Itajaí,PENHA,SANTA LIDIA,ARM - Armadilha,Armadilha,29/07/2024,03/08/2024,03/08/2024,4,0,0,0,0
ARM 416261/24,Itajaí,PENHA,SÃO CRISTÓVÃO,ARM - Armadilha,Armadilha,29/07/2024,03/08/2024,03/08/2024,5,0,0,0,0
LI+T 416259/24,São Miguel do Oeste,GUARACIABA,LINHA LISO BAIXO,A2 - Outros depósitos de armazenamento de água,Levantamento de Indice + Tratamento,31/07/2024,02/08/2024,05/08/2024,1,0,0,0,0
ARM 416258/24,São Miguel do Oeste,DESCANSO,CENTRO,ARM - Armadilha,Armadilha,29/07/2024,02/08/2024,05/08/2024,9,0,0,0,0
ARM 416257/24,São Miguel do Oeste,DESCANSO,CENTRO,ARM - Armadilha,Armadilha,29/07/2024,02/08/2024,05/08/2024,6,0,0,0,0
ARM 416253/24,Jaraguá do Sul,JARAGUÁ DO SUL,JARAGUÁ 99,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,02/08/2024,5,0,0,0,0
ARM 416247/24,Videira,SALTO VELOSO,SALTO,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,10,0,0,0,0
ARM 416246/24,Blumenau,GUABIRUBA,GUABIRUBA DO SUL,ARM - Armadilha,Armadilha,22/07/2024,02/08/2024,02/08/2024,16,0,0,0,0
ARM 416245/24,Blumenau,GASPAR,FIGUEIRA,ARM - Armadilha,Armadilha,29/07/2024,02/08/2024,02/08/2024,2,0,0,0,0
ARM 416244/24,Blumenau,GASPAR,FIGUEIRA,ARM - Armadilha,Armadilha,29/07/2024,02/08/2024,02/08/2024,1,0,0,0,0
ARM 416243/24,Blumenau,GUABIRUBA,LAGEADO BAIXO,ARM - Armadilha,Armadilha,22/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
ARM 416242/24,Blumenau,GASPAR,BELA VISTA,ARM - Armadilha,Armadilha,29/07/2024,02/08/2024,02/08/2024,5,0,0,0,0
ARM 416241/24,Blumenau,GUABIRUBA,GUABIRUBA DO SUL,ARM - Armadilha,Armadilha,29/07/2024,02/08/2024,02/08/2024,3,0,0,0,0
ARM 416240/24,Blumenau,GASPAR,SANTA TEREZINHA,ARM - Armadilha,Armadilha,26/07/2024,02/08/2024,02/08/2024,6,0,0,0,0
ARM 416239/24,Blumenau,GASPAR,COLONINHA,ARM - Armadilha,Armadilha,29/07/2024,02/08/2024,02/08/2024,9,0,0,0,0
ARM 416238/24,Blumenau,GUABIRUBA,GUABIRUBA DO SUL,ARM - Armadilha,Armadilha,29/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
ARM 416237/24,Blumenau,GASPAR,MARGEM ESQUERDA,ARM - Armadilha,Armadilha,15/07/2024,02/08/2024,02/08/2024,1,0,0,0,0
ARM 416236/24,Blumenau,ASCURRA,CENTRO,ARM - Armadilha,Armadilha,23/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
ARM 416235/24,Blumenau,GASPAR,MARGEM ESQUERDA,ARM - Armadilha,Armadilha,15/07/2024,02/08/2024,02/08/2024,7,0,0,0,0
ARM 416234/24,Blumenau,ASCURRA,ESTAÇÃO,ARM - Armadilha,Armadilha,22/07/2024,02/08/2024,02/08/2024,2,0,0,0,0
ARM 416233/24,Blumenau,ASCURRA,SANTA BARBARA,ARM - Armadilha,Armadilha,22/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
ARM 416232/24,Blumenau,GASPAR,MARGEM ESQUERDA,ARM - Armadilha,Armadilha,15/07/2024,02/08/2024,02/08/2024,1,0,0,0,0
ARM 416231/24,Blumenau,GASPAR,BATEIAS,ARM - Armadilha,Armadilha,24/07/2024,02/08/2024,02/08/2024,2,0,4,0,0
ARM 416230/24,Blumenau,GASPAR,GASPAR GRANDE,ARM - Armadilha,Armadilha,24/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
ARM 416226/24,Itajaí,CAMBORIÚ,SANTA REGINA,ARM - Armadilha,Armadilha,29/07/2024,29/07/2024,30/07/2024,1,0,0,0,0
ARM 416225/24,Itajaí,CAMBORIÚ,CIDADE (CENTRO),ARM - Armadilha,Armadilha,29/07/2024,29/07/2024,30/07/2024,10,0,0,0,0
ARM 416224/24,Itajaí,CAMBORIÚ,CIDADE (CENTRO),ARM - Armadilha,Armadilha,29/07/2024,29/07/2024,30/07/2024,10,0,0,0,0
ARM 416222/24,Chapecó,PINHALZINHO,DIVINÉIA,ARM - Armadilha,Armadilha,30/07/2024,02/08/2024,02/08/2024,10,0,0,0,0
PE 416221/24,Itajaí,BALNEÁRIO PIÇARRAS,BELA VISTA,B - Pequenos depósitos móveis,Ponto Estratégico,30/07/2024,30/07/2024,31/07/2024,2,0,0,0,0
ARM 416220/24,Chapecó,PALMITOS,CENTRO,ARM - Armadilha,Armadilha,30/07/2024,01/08/2024,01/08/2024,1,0,0,0,0
PE 416219/24,Itajaí,BALNEÁRIO PIÇARRAS,SANTO ANTONIO,B - Pequenos depósitos móveis,Ponto Estratégico,30/07/2024,30/07/2024,31/07/2024,8,0,0,0,0
ARM 416218/24,São José,CANELINHA,COBRE,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,2,0,0,0,0
ARM 416217/24,São José,CANELINHA,COBRE,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,2,0,0,0,0
ARM 416216/24,São José,CANELINHA,PAPAGAIOS,ARM - Armadilha,Armadilha,30/07/2024,02/08/2024,02/08/2024,1,0,0,0,0
ARM 416213/24,Joaçaba,CAMPOS NOVOS,LOTEAMENTO ZANATA,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,2,0,0,0,0
ARM 416212/24,Joinville,ARAQUARI,ITAPOCU,ARM - Armadilha,Armadilha,30/07/2024,02/08/2024,02/08/2024,3,0,0,0,0
ARM 416211/24,Joinville,ARAQUARI,BARRA DO ITAPOCÚ,ARM - Armadilha,Armadilha,30/07/2024,02/08/2024,02/08/2024,3,0,0,0,0
ARM 416210/24,Joinville,ARAQUARI,ITINGA,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,6,0,0,0,0
ARM 416209/24,Joinville,ARAQUARI,ITINGA,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,6,0,0,0,0
ARM 416208/24,Joinville,ARAQUARI,ITINGA,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,10,0,0,0,0
ARM 416207/24,Joinville,ARAQUARI,ITINGA,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
ARM 416206/24,Joinville,ARAQUARI,ITINGA,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,5,0,0,0,0
ARM 416205/24,Joinville,ARAQUARI,ITINGA,ARM - Armadilha,Armadilha,31/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
PE 416200/24,Chapecó,CHAPECÓ,PRESIDENTE MEDICE,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,30/07/2024,02/08/2024,02/08/2024,1,0,0,0,0
ARM 416191/24,Tubarão,BRAÇO DO NORTE,RIO BONITO,ARM - Armadilha,Armadilha,30/07/2024,01/08/2024,02/08/2024,5,0,0,0,0
ID 416189/24,São José,FLORIANÓPOLIS,CAPIVARI,B - Pequenos depósitos móveis,Investigação de Denúncia,31/07/2024,02/08/2024,02/08/2024,6,0,0,0,0
ID 416188/24,São José,FLORIANÓPOLIS,CAPIVARI,B - Pequenos depósitos móveis,Investigação de Denúncia,31/07/2024,02/08/2024,02/08/2024,6,0,0,0,0
ID 416187/24,São José,FLORIANÓPOLIS,CAPIVARI,D1 - Pneus e outros materiais rodantes,Investigação de Denúncia,30/07/2024,02/08/2024,02/08/2024,18,0,0,0,0
ID 416186/24,São José,FLORIANÓPOLIS,CAPIVARI,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Investigação de Denúncia,31/07/2024,02/08/2024,02/08/2024,2,0,0,0,0
ID 416185/24,São José,FLORIANÓPOLIS,CAPIVARI,C - Depósitos Fixos,Investigação de Denúncia,30/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
ID 416184/24,São José,FLORIANÓPOLIS,CAPIVARI,C - Depósitos Fixos,Investigação de Denúncia,30/07/2024,02/08/2024,02/08/2024,5,0,0,0,0
ID 416183/24,São José,FLORIANÓPOLIS,CAPIVARI,B - Pequenos depósitos móveis,Investigação de Denúncia,31/07/2024,02/08/2024,02/08/2024,4,0,0,0,0
ID 416182/24,São José,FLORIANÓPOLIS,CAPIVARI,  - Mosquito Adulto,Investigação de Denúncia,31/07/2024,02/08/2024,02/08/2024,0,2,0,0,0
PE 416142/24,Blumenau,BLUMENAU,BADENFURT,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/07/2024,01/08/2024,01/08/2024,1,0,0,0,0
ARM 416141/24,Blumenau,BLUMENAU,TRIBESS,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,01/08/2024,6,0,0,0,0
ARM 416138/24,Blumenau,BLUMENAU,TRIBESS,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,01/08/2024,3,0,0,0,0
ARM 416137/24,Blumenau,BLUMENAU,TRIBESS,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,01/08/2024,10,0,0,0,0
ARM 416134/24,Blumenau,BLUMENAU,TESTO SALTO,ARM - Armadilha,Armadilha,31/07/2024,01/08/2024,01/08/2024,2,0,0,0,0
ARM 416133/24,Blumenau,BLUMENAU,TESTO SALTO,ARM - Armadilha,Armadilha,31/07/2024,01/08/2024,01/08/2024,40,0,0,0,0
ARM 416130/24,Blumenau,BLUMENAU,FORTALEZA ALTA,ARM - Armadilha,Armadilha,31/07/2024,01/08/2024,01/08/2024,4,0,0,0,0
ARM 416128/24,Araranguá,SOMBRIO,NOVA BRASÍLIA,ARM - Armadilha,Armadilha,30/07/2024,31/07/2024,31/07/2024,60,0,0,0,0
ARM 416127/24,Araranguá,SOMBRIO,NOVA BRASÍLIA,ARM - Armadilha,Armadilha,30/07/2024,31/07/2024,31/07/2024,2,0,0,0,0
ARM 416126/24,Concórdia,CONCÓRDIA,PARQUE DE EXPOSICOES,ARM - Armadilha,Armadilha,31/07/2024,01/08/2024,01/08/2024,8,0,0,0,0
ARM 416125/24,São José,BIGUAÇU,RIO CAVEIRAS,ARM - Armadilha,Armadilha,29/07/2024,01/08/2024,01/08/2024,1,0,0,0,0
ARM 416124/24,Concórdia,CONCÓRDIA,BAIRRO LIBERDADE,ARM - Armadilha,Armadilha,31/07/2024,01/08/2024,01/08/2024,2,0,0,0,0
ARM 416123/24,São José,BIGUAÇU,PRAIA JOÃO ROSA,ARM - Armadilha,Armadilha,29/07/2024,01/08/2024,01/08/2024,1,0,0,0,0
LI+T 416122/24,São José,BIGUAÇU,PRAIA JOÃO ROSA,D1 - Pneus e outros materiais rodantes,Levantamento de Indice + Tratamento,30/07/2024,01/08/2024,01/08/2024,1,0,0,0,0
ARM 416121/24,Concórdia,CONCÓRDIA,FRAGOSOS,ARM - Armadilha,Armadilha,30/07/2024,01/08/2024,01/08/2024,10,0,0,0,0
PE 416120/24,Concórdia,CONCÓRDIA,SANTO ANTONIO,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,30/07/2024,01/08/2024,01/08/2024,3,0,0,0,0
ARM 416119/24,São José,BIGUAÇU,JARDIM JANAINA,ARM - Armadilha,Armadilha,31/07/2024,01/08/2024,01/08/2024,10,0,0,0,0
PE 416117/24,São José,BIGUAÇU,RIO CAVEIRAS,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,29/07/2024,01/08/2024,01/08/2024,2,0,0,0,0
ARM 416116/24,São José,GOVERNADOR CELSO RAMOS,BALNEARIO DE PALMAS,ARM - Armadilha,Armadilha,29/07/2024,01/08/2024,01/08/2024,1,0,0,0,0
PE 416115/24,Joinville,JOINVILLE,PETRÓPOLIS,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/07/2024,31/07/2024,31/07/2024,8,0,0,0,0
PE 416114/24,Joinville,JOINVILLE,PETRÓPOLIS,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/07/2024,31/07/2024,31/07/2024,2,0,0,0,0
ARM 416113/24,São José,GOVERNADOR CELSO RAMOS,BALNEARIO DE PALMAS,ARM - Armadilha,Armadilha,29/07/2024,01/08/2024,01/08/2024,1,0,0,0,0
PE 416112/24,Joinville,JOINVILLE,FATIMA,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/07/2024,31/07/2024,31/07/2024,6,0,0,0,0
PE 416111/24,Joinville,JOINVILLE,FATIMA,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/07/2024,31/07/2024,31/07/2024,15,0,0,0,0
ARM 416109/24,Joinville,JOINVILLE,COSTA E SILVA,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,31/07/2024,2,0,0,0,0
ARM 416108/24,São José,GOVERNADOR CELSO RAMOS,CAMBOA,ARM - Armadilha,Armadilha,30/07/2024,01/08/2024,01/08/2024,8,0,0,0,0
ARM 416107/24,Xanxerê,JUPIÁ,CENTRO,ARM - Armadilha,Armadilha,26/07/2024,01/08/2024,01/08/2024,9,0,0,0,0
ARM 416106/24,Joinville,JOINVILLE,COSTA E SILVA,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,31/07/2024,7,0,0,0,0
ARM 416105/24,São José,GOVERNADOR CELSO RAMOS,FAZENDA DA ARMAÇÃO,ARM - Armadilha,Armadilha,30/07/2024,01/08/2024,01/08/2024,3,0,0,0,0
ARM 416104/24,Joinville,JOINVILLE,COSTA E SILVA,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,31/07/2024,7,0,0,0,0
ARM 416103/24,Xanxerê,PONTE SERRADA,COHAB III,ARM - Armadilha,Armadilha,31/07/2024,01/08/2024,01/08/2024,1,0,0,0,0
ARM 416102/24,Joinville,JOINVILLE,COSTA E SILVA,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,31/07/2024,4,0,0,0,0
ARM 416101/24,Joinville,JOINVILLE,COSTA E SILVA,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,31/07/2024,2,0,0,0,0
ARM 416100/24,Rio do Sul,RIO DO SUL,CANTA GALO II,ARM - Armadilha,Armadilha,31/07/2024,01/08/2024,01/08/2024,10,0,0,0,0
ARM 416099/24,Joinville,JOINVILLE,COSTA E SILVA,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,31/07/2024,2,0,0,0,0
ARM 416098/24,Araranguá,PRAIA GRANDE,CENTRO,ARM - Armadilha,Armadilha,30/07/2024,31/07/2024,31/07/2024,1,0,5,0,0
ARM 416097/24,Joinville,JOINVILLE,COSTA E SILVA,ARM - Armadilha,Armadilha,31/07/2024,31/07/2024,31/07/2024,31,0,0,0,0
ARM 416096/24,São José,SÃO JOÃO BATISTA,RIBANCEIRA DO SUL,ARM - Armadilha,Armadilha,30/07/2024,01/08/2024,01/08/2024,3,0,0,0,0
