Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/09/2023 a 30/09/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 349699/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,8,0,0,0,0
ARM 349695/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,25/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349691/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,9,0,0,0,0
ARM 349687/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,5,0,0,0,0
ARM 349681/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,25/09/2023,29/09/2023,29/09/2023,4,0,0,0,0
ARM 349676/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,25/09/2023,29/09/2023,29/09/2023,30,0,0,0,0
ARM 349672/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,27/09/2023,29/09/2023,29/09/2023,18,0,0,0,0
ARM 349670/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/09/2023,29/09/2023,29/09/2023,5,0,0,0,0
ARM 349668/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,14,0,0,0,0
ARM 349666/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,20,0,0,0,0
ARM 349665/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/09/2023,29/09/2023,29/09/2023,14,0,0,0,0
ARM 349661/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,27/09/2023,29/09/2023,29/09/2023,4,0,0,0,0
ARM 349658/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,8,0,0,0,0
ARM 349656/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,52,0,0,0,0
ARM 349654/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,10,0,0,0,0
ARM 349653/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/09/2023,29/09/2023,29/09/2023,53,0,0,0,0
ARM 349566/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,9,0,0,0,0
ARM 349561/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,7,0,0,0,0
ARM 349549/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,7,0,0,0,0
ARM 349541/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,5,0,0,0,0
PE 349531/23,Blumenau,BLUMENAU,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,27/09/2023,27/09/2023,28/09/2023,10,0,0,0,0
PE 349524/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,27/09/2023,28/09/2023,28/09/2023,1,0,0,0,0
ARM 349500/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,28/09/2023,28/09/2023,49,0,0,0,0
ARM 349489/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,28/09/2023,28/09/2023,3,0,0,0,0
ARM 349482/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,28/09/2023,28/09/2023,7,0,0,0,0
ARM 349481/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,28/09/2023,28/09/2023,28,0,0,0,0
ARM 349480/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,28/09/2023,28/09/2023,4,0,0,0,0
ARM 349479/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,28/09/2023,28/09/2023,15,0,0,0,0
ARM 349478/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,3,0,0,0,0
ARM 349477/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,1,0,0,0,0
ARM 349476/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,1,0,0,0,0
ARM 349471/23,Blumenau,INDAIAL,Comércio,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,03/10/2023,1,0,0,0,0
ARM 349470/23,Blumenau,INDAIAL,Comércio,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,03/10/2023,2,0,0,0,0
ARM 349468/23,Blumenau,INDAIAL,Residência,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,03/10/2023,32,0,0,0,0
PE 349456/23,Blumenau,INDAIAL,Comércio,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,29/09/2023,29/09/2023,03/10/2023,1,0,0,0,0
PE 349454/23,Blumenau,INDAIAL,Comércio,B - Pequenos depósitos móveis,Ponto Estratégico,29/09/2023,29/09/2023,03/10/2023,10,0,0,0,0
ARM 349437/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,11,0,0,0,0
ARM 349433/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,3,0,0,0,0
LI+T 349391/23,São José,NOVA TRENTO,Residência,B - Pequenos depósitos móveis,Levantamento de Indice + Tratamento,29/09/2023,04/10/2023,04/10/2023,7,0,0,0,0
LI+T 349390/23,São José,NOVA TRENTO,Residência,B - Pequenos depósitos móveis,Levantamento de Indice + Tratamento,29/09/2023,04/10/2023,04/10/2023,5,0,0,0,0
ARM 349294/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,4,0,0,0,0
ARM 349291/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,3,0,0,0,0
ARM 349288/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,5,0,0,0,0
ARM 349283/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,10,0,0,0,0
ARM 349280/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,5,0,0,0,0
ARM 349254/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/09/2023,26/09/2023,27/09/2023,7,0,0,0,0
ARM 349217/23,Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,6,0,0,0,0
ARM 349216/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,3,0,0,0,0
ARM 349215/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,7,0,0,0,0
