Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/12/2023 a 31/12/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 367370/23,Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,6,0,0,0,0
ARM 367366/23,Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,3,0,7,0,0
ARM 367363/23,Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,20,0,0,0,0
ARM 367360/23,Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,1,0,0,0,0
ID 367316/23,São José,FLORIANÓPOLIS,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,22/12/2023,11/01/2024,09/01/2024,10,0,0,0,0
ARM 367158/23,Chapecó,IRATI,Comércio,ARM - Armadilha,Armadilha,27/12/2023,10/01/2024,10/01/2024,10,0,0,0,0
ARM 366981/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,18/12/2023,19/12/2023,19/12/2023,2,0,0,0,0
ARM 366980/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,18/12/2023,19/12/2023,19/12/2023,2,0,0,0,0
ARM 366979/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,18/12/2023,19/12/2023,19/12/2023,4,0,0,0,0
PE 366976/23,Blumenau,BLUMENAU,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,15/12/2023,18/12/2023,18/12/2023,10,0,0,0,0
PE 366973/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,15/12/2023,18/12/2023,18/12/2023,4,0,0,0,0
PE 366972/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,15/12/2023,18/12/2023,18/12/2023,4,0,0,0,0
PE 366968/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,15/12/2023,18/12/2023,18/12/2023,10,0,0,0,0
ID 366859/23,São José,FLORIANÓPOLIS,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,22/12/2023,09/01/2024,09/01/2024,10,0,0,0,0
ARM 366816/23,Jaraguá do Sul,SCHROEDER,Residência,ARM - Armadilha,Armadilha,26/12/2023,09/01/2024,09/01/2024,14,0,0,0,0
ARM 366815/23,Jaraguá do Sul,SCHROEDER,Outros,ARM - Armadilha,Armadilha,26/12/2023,09/01/2024,09/01/2024,66,0,12,0,0
ARM 366808/23,Jaraguá do Sul,SCHROEDER,Outros,ARM - Armadilha,Armadilha,29/12/2023,09/01/2024,09/01/2024,87,0,90,0,0
PE 366801/23,Blumenau,GASPAR,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,28/12/2023,08/01/2024,09/01/2024,10,0,0,0,0
PE 366799/23,Blumenau,GASPAR,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,28/12/2023,08/01/2024,09/01/2024,10,0,0,0,0
PE 366798/23,Blumenau,GASPAR,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,28/12/2023,08/01/2024,09/01/2024,10,0,0,0,0
PE 366797/23,Blumenau,GASPAR,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,28/12/2023,08/01/2024,09/01/2024,10,0,0,0,0
PE 366795/23,Blumenau,GASPAR,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,28/12/2023,08/01/2024,09/01/2024,10,0,0,0,0
ARM 366782/23,Tubarão,PEDRAS GRANDES,Comércio,ARM - Armadilha,Armadilha,11/12/2023,09/01/2024,09/01/2024,2,0,1,0,0
ARM 366640/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,15/12/2023,18/12/2023,18/12/2023,3,0,0,0,0
ARM 366635/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,15/12/2023,18/12/2023,18/12/2023,1,0,0,0,0
ARM 366632/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,15/12/2023,18/12/2023,18/12/2023,16,0,0,0,0
ARM 366627/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,15/12/2023,18/12/2023,18/12/2023,29,0,0,0,0
ARM 366620/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,15/12/2023,18/12/2023,18/12/2023,38,0,0,0,0
ARM 366617/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,13/12/2023,18/12/2023,18/12/2023,11,0,0,0,0
ARM 366611/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,11/12/2023,18/12/2023,18/12/2023,10,0,0,0,0
ARM 366606/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,15/12/2023,18/12/2023,18/12/2023,2,0,0,0,0
ARM 366597/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,18/12/2023,18/12/2023,3,0,0,0,0
ARM 366596/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,13/12/2023,18/12/2023,18/12/2023,8,0,0,0,0
ARM 366595/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,66,0,0,0,0
ARM 366593/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,3,0,0,0,0
ARM 366590/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,4,0,0,0,0
ARM 366588/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,30,0,0,0,0
ARM 366585/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,9,0,0,0,0
ARM 366583/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,2,0,0,0,0
ARM 366581/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,10,0,0,0,0
ARM 366579/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,4,0,0,0,0
ARM 366577/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,14/12/2023,14/12/2023,15/12/2023,1,0,0,0,0
ARM 366567/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,22,0,0,0,0
ARM 366557/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,3,0,0,0,0
ARM 366553/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,1,0,0,0,0
ARM 366550/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,5,0,0,0,0
ARM 366548/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,6,0,0,0,0
ARM 366545/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,7,0,0,0,0
ARM 366543/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,6,0,0,0,0
ARM 366540/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,4,0,0,0,0
ARM 366539/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,7,0,0,0,0
ARM 366527/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,6,0,0,0,0
ARM 366525/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,17,0,0,0,0
ARM 366523/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,10,0,0,0,0
ARM 366520/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,14/12/2023,15/12/2023,15/12/2023,30,0,0,0,0
LI+T 366515/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,Levantamento de Indice + Tratamento,14/12/2023,14/12/2023,14/12/2023,4,0,0,0,0
LI+T 366514/23,Blumenau,BLUMENAU,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Levantamento de Indice + Tratamento,14/12/2023,14/12/2023,14/12/2023,2,0,0,0,0
PE 366511/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,13/12/2023,14/12/2023,14/12/2023,2,0,0,0,0
PE 366509/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,13/12/2023,14/12/2023,14/12/2023,3,0,0,0,0
PE 366505/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,13/12/2023,14/12/2023,14/12/2023,5,0,0,0,0
ARM 366500/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,13/12/2023,14/12/2023,14/12/2023,3,0,0,0,0
ARM 366498/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,13/12/2023,14/12/2023,14/12/2023,2,0,0,0,0
ARM 366487/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,13/12/2023,14/12/2023,14/12/2023,13,0,0,0,0
ARM 366481/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,13/12/2023,14/12/2023,14/12/2023,12,0,0,0,0
ARM 366477/23,Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,12,0,0,0,0
ARM 366476/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,13/12/2023,14/12/2023,14/12/2023,2,0,0,0,0
ARM 366475/23,Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,3,0,0,0,0
ARM 366474/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,13/12/2023,14/12/2023,14/12/2023,5,0,0,0,0
ARM 366472/23,Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,14,0,6,0,0
ARM 366471/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,13/12/2023,14/12/2023,14/12/2023,1,0,0,0,0
ARM 366468/23,Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,15,0,0,0,0
