Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/01/2023 a 31/01/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 305323/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,2,0,0,0,0
ARM 305318/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,6,0,0,0,0
ARM 305315/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,16,0,0,0,0
ARM 305311/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,2,0,0,0,0
ARM 305308/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,4,0,0,0,0
ARM 305305/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,4,0,0,0,0
ARM 305302/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,20,0,0,0,0
ARM 305298/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/01/2023,26/01/2023,27/01/2023,5,0,0,0,0
ARM 305295/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/01/2023,26/01/2023,27/01/2023,20,0,0,0,0
ARM 305293/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/01/2023,26/01/2023,27/01/2023,2,0,0,0,0
ARM 305288/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,25/01/2023,26/01/2023,27/01/2023,3,0,0,0,0
ARM 305281/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/01/2023,26/01/2023,27/01/2023,17,0,0,0,0
