Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/10/2023 a 31/10/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 354302/23,Itajaí,ITAPEMA,Residência,ARM - Armadilha,Armadilha,30/10/2023,03/11/2023,03/11/2023,5,0,0,0,0
ARM 354301/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,31/10/2023,03/11/2023,03/11/2023,108,0,0,0,0
ARM 354300/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,30/10/2023,03/11/2023,03/11/2023,23,0,0,0,0
ARM 354298/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,31/10/2023,03/11/2023,03/11/2023,7,0,0,0,0
ARM 354290/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,30/10/2023,03/11/2023,03/11/2023,9,0,0,0,0
ARM 354289/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,30/10/2023,03/11/2023,03/11/2023,13,0,0,0,0
ARM 354203/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,20/10/2023,23/10/2023,23/10/2023,6,0,0,0,0
ARM 354194/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,20/10/2023,23/10/2023,23/10/2023,1,0,0,0,0
ARM 354193/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,20/10/2023,23/10/2023,23/10/2023,50,0,0,0,0
PE 354192/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,19/10/2023,20/10/2023,20/10/2023,7,0,0,0,0
LI+T 354188/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,Levantamento de Indice + Tratamento,19/10/2023,20/10/2023,20/10/2023,3,0,0,0,0
ARM 354183/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,18/10/2023,20/10/2023,20/10/2023,6,0,0,0,0
ARM 354181/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,17/10/2023,20/10/2023,20/10/2023,10,0,0,0,0
ARM 354180/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,16/10/2023,20/10/2023,20/10/2023,2,0,0,0,0
ARM 354178/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,19/10/2023,20/10/2023,20/10/2023,10,0,0,0,0
ARM 354177/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,19/10/2023,20/10/2023,20/10/2023,10,0,0,0,0
ARM 354174/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,19/10/2023,20/10/2023,20/10/2023,10,0,0,0,0
ARM 354173/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,19/10/2023,20/10/2023,20/10/2023,3,0,0,0,0
ARM 354168/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,19/10/2023,20/10/2023,20/10/2023,16,0,0,0,0
