Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/06/2023 a 30/06/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 339659/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,1,0,0,0,0
ARM 339658/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,54,0,0,0,0
ARM 339657/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,9,0,0,0,0
ARM 339656/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,11,0,1,0,0
ARM 339655/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,8,0,0,0,0
ARM 339654/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,13,0,0,0,0
ARM 339653/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,7,0,0,0,0
ARM 339652/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,1,0,0,0,0
ARM 339651/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,1,0,0,0,0
ARM 339650/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,2,0,0,0,0
ARM 339649/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,2,0,0,0,0
ARM 339648/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,1,0,0,0,0
ARM 339647/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,20,0,0,0,0
ARM 339646/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,7,0,8,0,0
ARM 339645/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,9,0,0,0,0
ARM 339644/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,1,0,0,0,0
ARM 339643/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,26,0,0,0,0
ARM 339642/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,4,0,0,0,0
ARM 339641/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,3,0,0,0,0
ARM 339640/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,5,0,0,0,0
ARM 339639/23,Joinville,JOINVILLE,Outros,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,3,0,0,0,0
ARM 339638/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,17,0,0,0,0
ARM 339637/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,5,0,0,0,0
ARM 339636/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,1,0,0,0,0
ARM 339635/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,29/06/2023,29/06/2023,30/06/2023,11,0,0,0,0
ARM 339634/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,27/06/2023,27/06/2023,28/06/2023,4,0,0,0,0
ARM 339633/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,27/06/2023,27/06/2023,28/06/2023,2,0,0,0,0
ARM 339632/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,27/06/2023,27/06/2023,28/06/2023,14,0,0,0,0
ARM 339631/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,27/06/2023,27/06/2023,28/06/2023,1,0,0,0,0
ARM 339630/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,27/06/2023,27/06/2023,28/06/2023,1,0,0,0,0
ARM 339616/23,Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,26/06/2023,01/07/2023,01/07/2023,2,0,0,0,0
ARM 339615/23,Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,28/06/2023,01/07/2023,01/07/2023,9,0,0,0,0
