Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/04/2023 a 30/04/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 333092/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,2,0,0,0,0
ARM 333091/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,5,0,0,0,0
ARM 333090/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,2,0,0,0,0
ARM 333088/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,3,0,0,0,0
ARM 333087/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,1,0,0,0,0
ARM 333086/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,1,0,0,0,0
ARM 333085/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,4,0,0,0,0
ARM 333084/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/04/2023,28/04/2023,28/04/2023,3,0,0,0,0
ARM 333082/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/04/2023,28/04/2023,28/04/2023,1,0,0,0,0
ARM 333081/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/04/2023,28/04/2023,28/04/2023,2,0,0,0,0
ARM 333080/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,3,0,0,0,0
ARM 333079/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,2,0,0,0,0
PE 333078/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,26/04/2023,27/04/2023,27/04/2023,8,0,0,0,0
PE 333077/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,26/04/2023,27/04/2023,27/04/2023,7,0,0,0,0
PE 333076/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,26/04/2023,27/04/2023,27/04/2023,8,0,0,0,0
PE 333073/23,Blumenau,BLUMENAU,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,26/04/2023,27/04/2023,27/04/2023,8,0,0,0,0
ARM 333069/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,27/04/2023,12,0,0,0,0
RA 332906/23,Chapecó,PAIAL,Residência,E - Depósitos naturais,Revisão da Área,27/04/2023,19/05/2023,19/05/2023,6,0,0,0,0
RA 332905/23,Chapecó,PAIAL,Residência,D1 - Pneus e outros materiais rodantes,Revisão da Área,27/04/2023,19/05/2023,19/05/2023,10,0,0,0,0
RA 332904/23,Chapecó,PAIAL,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Revisão da Área,27/04/2023,19/05/2023,19/05/2023,10,0,0,0,0
RA 332903/23,Chapecó,PAIAL,Residência,E - Depósitos naturais,Revisão da Área,27/04/2023,19/05/2023,19/05/2023,1,0,0,0,0
RA 332901/23,Chapecó,PAIAL,Comércio,B - Pequenos depósitos móveis,Revisão da Área,27/04/2023,19/05/2023,19/05/2023,10,0,0,0,0
RA 332900/23,Chapecó,PAIAL,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Revisão da Área,27/04/2023,19/05/2023,19/05/2023,2,0,0,0,0
ARM 332787/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,27/04/2023,1,0,0,0,0
ARM 332786/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,27/04/2023,30,0,0,0,0
ARM 332783/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,27/04/2023,4,0,0,0,0
ARM 332780/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,26/04/2023,27/04/2023,2,0,0,0,0
ARM 332779/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,26/04/2023,27/04/2023,4,0,0,0,0
ARM 332778/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,20/04/2023,26/04/2023,26/04/2023,3,0,0,0,0
ARM 332777/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,20/04/2023,26/04/2023,26/04/2023,1,0,0,0,0
PE 332776/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,24/04/2023,25/04/2023,26/04/2023,1,0,0,0,0
PE 332775/23,Blumenau,BLUMENAU,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,25/04/2023,26/04/2023,26/04/2023,10,0,0,0,0
ARM 332774/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,26/04/2023,2,0,0,0,0
ARM 332773/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,26/04/2023,1,0,0,0,0
ARM 332772/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,26/04/2023,1,0,0,0,0
ARM 332770/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,26/04/2023,5,0,0,0,0
ARM 332769/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/04/2023,26/04/2023,26/04/2023,6,0,0,0,0
ARM 332768/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/04/2023,26/04/2023,26/04/2023,9,0,0,0,0
