Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 01/01/2019 a 31/12/2019,,,,,,
Atualizado em 26/05/2023,,,,,,
Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Joinville,JOINVILLE,JARIVATUBA,Residência,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,JARIVATUBA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,JARIVATUBA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,JARIVATUBA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,GLORIA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,FLORESTA,Outros,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,BUCAREIN,Outros,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,BUCAREIN,Ponto Estratégico,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,BOA VISTA,Residência,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE, PROFIPO,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE, PROFIPO,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE, PROFIPO,Residência,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE, PROFIPO,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE, PROFIPO,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,PETRÓPOLIS,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,PETRÓPOLIS,Residência,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,ITINGA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,ITINGA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,ITINGA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,IRIRIÚ,Outros,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,COSTA E SILVA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,COSTA E SILVA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,BOEHMERWALD,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,BOEHMERWALD,Residência,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,BOEHMERWALD,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,BOA VISTA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,BOA VISTA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,BOA VISTA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,BOA VISTA,Residência,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,BOA VISTA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,ANITA GARIBALDI,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,ANITA GARIBALDI,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,ANITA GARIBALDI,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,ANITA GARIBALDI,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,AMERICA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,NOVA BRASILIA,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,13/12/2019
Joinville,JOINVILLE,FLORESTA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,12/12/2019
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,ULYSSES GUIMARÃES,Residência,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,COMASA,Outros,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,COMASA,Residência,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,COMASA,Comércio,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,COMASA,Outros,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,FATIMA,Residência,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,FATIMA,Comércio,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,FATIMA,Residência,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,FATIMA,Residência,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,FATIMA,Comércio,ARM - Armadilha,Armadilha,13/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Outros,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Residência,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Outros,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Outros,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Residência,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Outros,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,SANTO ANTÔNIO,Comércio,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,SANTO ANTÔNIO,Comércio,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,SANTA CATARINA,Comércio,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,PARQUE  GUARANI,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,PARQUE  GUARANI,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Residência,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Residência,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Residência,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Residência,ARM - Armadilha,Armadilha,11/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Outros,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JARIVATUBA,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JARIVATUBA,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JARIVATUBA,Comércio,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,ARM - Armadilha,Armadilha,10/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,12/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,12/12/2019
