Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/07/2023 a 31/07/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 342691/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,31/07/2023,04/08/2023,04/08/2023,5,0,0,0,0
ARM 342690/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,31/07/2023,04/08/2023,04/08/2023,3,0,0,0,0
ARM 342685/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,31/07/2023,04/08/2023,04/08/2023,1,0,0,0,0
ARM 342683/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,31/07/2023,04/08/2023,04/08/2023,2,0,0,0,0
ARM 342680/23,Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,31/07/2023,04/08/2023,04/08/2023,19,0,0,0,0
ARM 342635/23,São José,SÃO JOÃO BATISTA,Residência,ARM - Armadilha,Armadilha,31/07/2023,04/08/2023,07/08/2023,3,0,0,0,0
ARM 342619/23,Xanxerê,ABELARDO LUZ,Residência,ARM - Armadilha,Armadilha,31/07/2023,07/08/2023,07/08/2023,7,0,0,0,0
ARM 342599/23,Itajaí,CAMBORIÚ,Outros,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,03/08/2023,10,0,0,0,0
ARM 342598/23,Itajaí,CAMBORIÚ,Comércio,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,03/08/2023,5,0,0,0,0
PE 342596/23,Itajaí,CAMBORIÚ,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/07/2023,31/07/2023,03/08/2023,8,0,0,0,0
ARM 342569/23,Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,31/07/2023,01/08/2023,01/08/2023,10,0,0,0,0
ARM 342567/23,Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,31/07/2023,2,0,0,0,0
ARM 342566/23,Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,31/07/2023,2,0,0,0,0
ARM 342560/23,Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,30/07/2023,30/07/2023,30/07/2023,20,0,0,0,0
ARM 342555/23,Joinville,SÃO FRANCISCO DO SUL,Outros,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,02/08/2023,6,0,0,0,0
ARM 342554/23,Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,31/07/2023,31/07/2023,31/07/2023,4,0,0,0,0
ARM 342544/23,Araranguá,SOMBRIO,Outros,ARM - Armadilha,Armadilha,31/07/2023,02/08/2023,03/08/2023,2,0,0,0,0
ARM 342534/23,Chapecó,PINHALZINHO,Residência,ARM - Armadilha,Armadilha,31/07/2023,04/08/2023,04/08/2023,10,0,0,0,0
ARM 342533/23,Chapecó,PINHALZINHO,Comércio,ARM - Armadilha,Armadilha,31/07/2023,04/08/2023,04/08/2023,10,0,0,0,0
ARM 342522/23,Araranguá,SOMBRIO,Comércio,ARM - Armadilha,Armadilha,31/07/2023,02/08/2023,03/08/2023,1,0,0,0,0
ARM 342521/23,Araranguá,SOMBRIO,Comércio,ARM - Armadilha,Armadilha,31/07/2023,02/05/2023,03/08/2023,2,0,0,0,0
PE 342482/23,Itajaí,BALNEÁRIO CAMBORIÚ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,31/07/2023,01/08/2023,01/08/2023,4,0,0,0,0
ARM 342481/23,Itajaí,BALNEÁRIO CAMBORIÚ,Outros,ARM - Armadilha,Armadilha,31/07/2023,01/08/2023,01/08/2023,29,0,0,0,0
ARM 342480/23,Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,13/07/2023,04/08/2023,04/08/2023,3,0,0,0,0
PE 342479/23,São Miguel do Oeste,DIONÍSIO CERQUEIRA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,31/07/2023,01/08/2023,01/08/2023,1,0,0,0,0
