Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/02/2023 a 28/02/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
L 320082/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,LIRAa,27/02/2023,27/02/2023,03/03/2023,5,0,0,0,0
L 320081/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,27/02/2023,03/03/2023,5,0,0,0,0
L 320080/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,03/03/2023,03/03/2023,10,0,0,0,0
L 320079/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,03/03/2023,03/03/2023,10,0,0,0,0
L 320078/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,LIRAa,27/02/2023,03/03/2023,03/03/2023,2,0,0,0,0
L 320077/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,03/03/2023,03/03/2023,8,0,0,0,0
L 320076/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,27/02/2023,03/03/2023,03/03/2023,2,0,0,0,0
L 320075/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,27/02/2023,03/03/2023,03/03/2023,10,0,0,0,0
L 320074/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,03/03/2023,03/03/2023,5,0,0,0,0
L 320072/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,LIRAa,27/02/2023,03/03/2023,03/03/2023,5,0,0,0,0
L 320070/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,LIRAa,27/02/2023,03/03/2023,03/03/2023,1,0,0,0,0
L 320063/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,27/02/2023,03/03/2023,5,0,0,0,0
L 320060/23,Blumenau,BLUMENAU,Comércio,B - Pequenos depósitos móveis,LIRAa,27/02/2023,02/03/2023,02/03/2023,10,0,0,0,0
L 320058/23,Blumenau,BLUMENAU,Comércio,B - Pequenos depósitos móveis,LIRAa,27/02/2023,02/03/2023,02/03/2023,10,0,0,0,0
L 320044/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,LIRAa,27/02/2023,02/03/2023,02/03/2023,7,0,0,0,0
L 320040/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,02/03/2023,02/03/2023,10,0,0,0,0
L 320036/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,01/03/2023,02/03/2023,5,0,0,0,0
L 320032/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,27/02/2023,02/03/2023,02/03/2023,8,0,0,0,0
L 320030/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,27/02/2023,27/02/2023,02/03/2023,8,0,0,0,0
L 320021/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,28/02/2023,02/03/2023,10,0,0,0,0
L 320016/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,02/03/2023,02/03/2023,10,0,0,0,0
L 319999/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,28/02/2023,02/03/2023,10,0,0,0,0
L 319991/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,28/02/2023,02/03/2023,5,0,0,0,0
L 319982/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,27/02/2023,28/02/2023,02/03/2023,4,0,0,0,0
L 319979/23,Blumenau,BLUMENAU,Comércio,C - Depósitos Fixos,LIRAa,27/02/2023,28/02/2023,02/03/2023,8,0,0,0,0
L 319969/23,Blumenau,BLUMENAU,Outros,D1 - Pneus e outros materiais rodantes,LIRAa,27/02/2023,28/02/2023,02/03/2023,1,0,0,0,0
L 319959/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,28/02/2023,02/03/2023,17,0,0,0,0
L 319955/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,LIRAa,27/02/2023,28/02/2023,02/03/2023,1,0,0,0,0
L 319954/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,LIRAa,27/02/2023,28/02/2023,02/03/2023,2,0,0,0,0
L 319953/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,28/02/2023,02/03/2023,6,0,0,0,0
L 319947/23,Blumenau,BLUMENAU,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,27/02/2023,28/02/2023,02/03/2023,10,0,0,0,0
L 319899/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,LIRAa,27/02/2023,28/02/2023,02/03/2023,4,0,0,0,0
L 319895/23,Blumenau,BLUMENAU,Residência,A2 - Outros depósitos de armazenamento de água,LIRAa,27/02/2023,28/02/2023,02/03/2023,3,0,0,0,0
L 319883/23,Blumenau,BLUMENAU,Outros,D1 - Pneus e outros materiais rodantes,LIRAa,27/02/2023,28/02/2023,02/03/2023,10,0,0,0,0
PE 319880/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,24/02/2023,27/02/2023,01/03/2023,3,0,0,0,0
PE 319876/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,24/02/2023,27/02/2023,01/03/2023,9,0,0,0,0
PE 319873/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,24/02/2023,27/02/2023,01/03/2023,2,0,0,0,0
PE 319653/23,Blumenau,BLUMENAU,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,24/02/2023,27/02/2023,02/03/2023,10,0,0,0,0
PE 319650/23,Blumenau,BLUMENAU,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,24/02/2023,27/02/2023,02/03/2023,3,0,0,0,0
ARM 319648/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,10,0,0,0,0
ARM 319645/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,3,0,0,0,0
ARM 319643/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,2,0,0,0,0
ARM 319641/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,36,0,0,0,0
ARM 319640/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,1,0,0,0,0
ARM 319638/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,10,0,0,0,0
ARM 319637/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,2,0,0,0,0
ARM 319636/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,8,0,0,0,0
ARM 319635/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,7,0,0,0,0
ARM 319632/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,1,0,0,0,0
ARM 319631/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,2,0,0,0,0
ARM 319628/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,2,0,0,0,0
ARM 319627/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,10,0,0,0,0
ARM 319624/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,3,0,0,0,0
ARM 319621/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,3,0,0,0,0
ARM 319617/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,2,0,0,0,0
ARM 319614/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,50,0,0,0,0
ARM 319609/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,27,0,0,0,0
ARM 319608/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,27/02/2023,01/03/2023,20,0,0,0,0
ARM 319606/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,3,0,0,0,0
ARM 319603/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,27/02/2023,01/03/2023,3,0,0,0,0
ARM 319600/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,27/02/2023,01/03/2023,2,0,0,0,0
ARM 319598/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,1,0,0,0,0
ARM 319595/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,27/02/2023,01/03/2023,1,0,0,0,0
ARM 319590/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,10,0,0,0,0
ARM 319589/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,27/02/2023,01/03/2023,1,0,0,0,0
ARM 319578/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,6,0,0,0,0
ARM 319576/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,27/02/2023,01/03/2023,10,0,0,0,0
ARM 319558/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,23/02/2023,01/03/2023,5,0,0,0,0
ARM 319551/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,23/02/2023,01/03/2023,8,0,0,0,0
ARM 319538/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,23/02/2023,01/03/2023,5,0,0,0,0
ARM 319534/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,27/02/2023,01/03/2023,5,0,0,0,0
ARM 319533/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,23/02/2023,01/03/2023,5,0,0,0,0
ARM 319529/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,5,0,0,0,0
ARM 319516/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,10,0,0,0,0
ARM 319508/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,10,0,0,0,0
ARM 319502/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,6,0,0,0,0
ARM 319491/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/02/2023,27/02/2023,01/03/2023,2,0,0,0,0
ARM 319322/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,6,0,0,0,0
ARM 319318/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,8,0,0,0,0
ARM 319316/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,9,0,0,0,0
ARM 319313/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,2,0,0,0,0
ARM 319308/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,1,0,0,0,0
ARM 319301/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,1,0,0,0,0
ARM 319297/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,16,0,0,0,0
ARM 319288/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,4,0,0,0,0
ARM 319284/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,10,0,0,0,0
ARM 319250/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,6,0,0,0,0
ARM 319247/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,10,0,0,0,0
ARM 319235/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,4,0,0,0,0
ARM 319230/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/02/2023,24/02/2023,28/02/2023,3,0,0,0,0
