Semana,Município,Focos,latitude,longitude
2012-04-08,JARAGUÁ DO SUL,1,-26.481907693524388,-49.159974339900636
2012-04-08,JOINVILLE,3,-26.244282225607027,-48.95140521079262
2012-04-08,PALHOÇA,1,-27.77182146966105,-48.66170819531588
2012-04-08,PORTO UNIÃO,1,-26.38362840601625,-51.00778459817214
2012-04-08,SAUDADES,1,-26.89720679402398,-53.04001442530173
2012-04-08,SÃO JOSÉ,1,-27.57847109713233,-48.65625577254402
2012-04-08,SÃO MIGUEL DO OESTE,10,-26.727236944731406,-53.51212123092325
2012-04-15,BLUMENAU,4,-26.885766673711007,-49.09730924738388
2012-04-15,BRUSQUE,1,-27.125000077860673,-48.90974338759385
2012-04-15,CANOINHAS,1,-26.249950005908698,-50.53337070155689
2012-04-15,CHAPECÓ,29,-27.125143757264095,-52.6503387011512
2012-04-15,FLORIANÓPOLIS,11,-27.577833913876493,-48.50819805014117
2012-04-15,JOINVILLE,12,-26.244282225607027,-48.95140521079262
2012-04-15,PINHALZINHO,3,-26.829373480377633,-52.97663206995043
2012-04-15,PIRATUBA,1,-27.46121871446764,-51.77282038293217
2012-04-15,SÃO JOSÉ DO CEDRO,5,-26.48085134039229,-53.53373642407425
2012-04-15,SÃO MIGUEL DO OESTE,6,-26.727236944731406,-53.51212123092325
2012-04-22,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-04-22,BRUSQUE,1,-27.125000077860673,-48.90974338759385
2012-04-22,CHAPECÓ,3,-27.125143757264095,-52.6503387011512
2012-04-22,CONCÓRDIA,1,-27.23912654780915,-52.00738181173657
2012-04-22,FLORIANÓPOLIS,6,-27.577833913876493,-48.50819805014117
2012-04-22,GARUVA,1,-26.05711167861282,-48.86732766109188
2012-04-22,JOINVILLE,5,-26.244282225607027,-48.95140521079262
2012-04-22,PINHALZINHO,4,-26.829373480377633,-52.97663206995043
2012-04-22,PIRATUBA,1,-27.46121871446764,-51.77282038293217
2012-04-22,POMERODE,1,-26.728186239159662,-49.17330417894716
2012-04-22,PORTO UNIÃO,1,-26.38362840601625,-51.00778459817214
2012-04-22,SÃO JOSÉ DO CEDRO,3,-26.48085134039229,-53.53373642407425
2012-04-22,SÃO MIGUEL DO OESTE,3,-26.727236944731406,-53.51212123092325
2012-04-29,BLUMENAU,2,-26.885766673711007,-49.09730924738388
2012-04-29,BRUSQUE,1,-27.125000077860673,-48.90974338759385
2012-04-29,CHAPECÓ,1,-27.125143757264095,-52.6503387011512
2012-04-29,FLORIANÓPOLIS,3,-27.577833913876493,-48.50819805014117
2012-04-29,JOINVILLE,1,-26.244282225607027,-48.95140521079262
2012-04-29,PALHOÇA,1,-27.77182146966105,-48.66170819531588
2012-04-29,PINHALZINHO,16,-26.829373480377633,-52.97663206995043
2012-04-29,SÃO JOSÉ,1,-27.57847109713233,-48.65625577254402
2012-05-06,BLUMENAU,1,-26.885766673711007,-49.09730924738388
2012-05-06,BOMBINHAS,2,-27.17325633187103,-48.51748707787348
2012-05-06,CHAPECÓ,27,-27.125143757264095,-52.6503387011512
2012-05-06,CONCÓRDIA,9,-27.23912654780915,-52.00738181173657
2012-05-06,FLORIANÓPOLIS,3,-27.577833913876493,-48.50819805014117
2012-05-06,GAROPABA,1,-28.046733934256846,-48.65893578099145
2012-05-06,GARUVA,1,-26.05711167861282,-48.86732766109188
2012-05-06,MARAVILHA,1,-26.759973577360107,-53.19811282877847
2012-05-06,NAVEGANTES,1,-26.82874286660231,-48.72739585880501
2012-05-06,PINHALZINHO,8,-26.829373480377633,-52.97663206995043
2012-05-06,SÃO JOSÉ DO CEDRO,1,-26.48085134039229,-53.53373642407425
2012-05-06,TIJUCAS,1,-27.247563296595885,-48.70088637061579
