Semana,casos,focos,tmin,tmed,tmax,prec
2017-03-19,0.0,8,15.848227500915527,18.769375119890487,23.948175157819477,15.5625
2017-03-26,0.0,9,15.645448139735633,18.52390207563128,23.232471193586075,23.125
2017-04-02,0.0,8,17.018586567470006,19.411926542009628,23.529749189104358,32.875
2017-04-09,0.0,6,16.826762744358607,19.97334017072405,25.093434742518838,8.125
2017-04-16,0.0,7,15.668376650129046,18.50735855102539,22.91604505266462,34.0
2017-04-23,0.0,6,11.58206503731864,15.827421460832868,21.80169187273298,16.625
2017-04-30,0.0,5,13.90888214111328,16.820911816188268,22.077585220336918,14.5
2017-05-07,0.0,2,14.06828498840332,17.18543897356306,22.28661046709333,0.875
2017-05-14,0.0,6,13.248752049037387,16.41284111567906,20.56338964189802,96.25
2017-05-21,0.0,8,14.939557211739675,17.41475405011858,21.478933334350582,21.75
2017-05-28,0.0,16,13.601893561226982,15.822917665754046,19.50797380719866,91.5
2017-06-04,0.0,5,13.332561254501345,15.983957835606166,19.784672328404017,63.875
2017-06-11,0.0,4,8.637295041765485,12.75882966177804,20.05490820748465,0.375
2017-06-18,0.0,1,11.075496128627233,14.126719338553292,18.526918275015696,16.0
2017-06-25,0.0,6,10.541335650852748,14.546565328325544,21.235307965959823,0.125
2017-07-02,0.0,10,8.982410839625768,12.214703696114675,17.65724972316197,2.375
2017-07-09,0.0,2,11.523453848702568,14.941042355128696,21.616536821637837,0.0
2017-07-16,0.0,3,6.72336254801069,10.735382897513253,18.266653742109025,10.75
2017-07-23,0.0,0,9.387521743774414,14.0533082144601,22.272715977260045,0.0
2017-07-30,0.0,9,11.054856300354004,14.881596429007391,21.29541233607701,24.375
2017-08-06,0.0,3,10.94973073686872,14.402504784720284,20.71130916050502,8.0
2017-08-13,0.0,0,12.183805874415809,14.843702725001744,18.96361473628453,18.875
2017-08-20,0.0,2,10.3884368624006,13.9080228805542,19.24075984954834,45.4375
2017-08-27,0.0,13,13.483331680297852,16.87286744798933,22.0619318825858,0.5
2017-09-03,0.0,2,13.3134001323155,17.653870718819753,24.739950725010463,0.125
2017-09-10,0.0,1,15.286926814488002,19.76688139779227,26.43732752118792,0.5
2017-09-17,0.0,1,15.866190910339355,19.170412608555385,24.95298658098493,0.625
2017-09-24,0.0,0,14.720566204616002,17.419474329267228,21.63311985560826,41.5
2017-10-01,0.0,8,12.665385110037668,17.996108600071498,24.219267436436244,45.625
2017-10-08,0.0,5,15.80959142957415,19.14051137651716,24.592065811157227,55.25
2017-10-15,0.0,3,15.441099848066058,18.078395707266672,21.74184717450823,10.875
2017-10-22,0.0,5,14.687096868242536,17.902988978794642,22.38498088291713,32.125
2017-10-29,0.0,5,13.650588853018624,17.52097511291504,22.186419350760325,8.3125
2017-11-05,0.0,8,14.775718144008092,17.57007394518171,22.033213479178293,47.25
2017-11-12,0.0,6,13.388753754752022,19.473761694771905,26.99669919695173,37.4375
2017-11-19,0.0,4,15.856087957109724,18.93832806178502,23.45710018702916,18.5
2017-11-26,0.0,14,15.740364483424596,19.78531347002302,25.151216779436385,9.25
2017-12-03,0.0,1,17.20047296796526,21.052839006696427,26.48303249904088,12.5
2017-12-10,0.0,9,17.390459878104075,21.233354023524694,27.254919052124023,4.375
2017-12-17,0.0,10,18.73319407871791,22.10312843322754,26.80215753827776,24.4375
2017-12-24,0.0,7,18.558823449271067,20.69133050101144,24.098781040736608,112.0625
2017-12-31,0.0,8,17.74997956412179,22.277649470738,28.774561200823104,9.0625
2018-01-07,0.0,7,17.71346037728446,20.42692674909319,24.654035023280557,72.1875
2018-01-14,0.0,28,19.81790324619838,22.63351740155901,27.972143173217773,99.1875
2018-01-21,0.0,23,18.17122977120536,21.54889978681292,27.03664207458496,53.875
2018-01-28,0.0,14,17.114829472133092,20.843346459524973,26.584076745169504,40.875
2018-02-04,0.0,32,17.271800177437918,21.41142681666783,27.342567716326037,15.25
2018-02-11,0.0,16,16.96197727748326,19.31712750026158,22.571626935686385,48.3125
