Semana,SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2001-04-01,14,12.943966,26.480158,18.42422,28.15341,11.1536455,21.511574,25.908653,27.451992,25.333334,17.800781,14.908334,25.9875,14.21007,9.450798,14.760761,15.716911,38.277645
2001-04-08,15,65.11207,32.089287,27.54375,7.840909,32.661457,21.0,23.413462,24.440218,9.236111,74.35547,22.497223,27.55,40.916668,11.885638,32.917217,16.595589,45.853367
2001-04-15,16,34.96121,15.388889,22.025,31.255682,27.541666,17.337963,26.240385,12.742754,25.822916,23.410156,17.9,33.915,25.15625,10.614362,18.452814,32.669117,29.180288
2001-04-22,17,63.655174,27.089285,36.671875,52.738636,62.908855,63.037037,24.759615,18.900362,29.340279,54.378906,21.672222,28.785,69.923615,18.68351,43.825333,29.382353,75.86298
2001-04-29,18,61.28879,81.33929,45.792187,100.03409,37.065105,97.421295,122.61539,125.960144,114.145836,55.609375,90.76945,93.66,38.80903,31.204786,88.22102,69.42647,34.997597
2001-05-06,19,16.715517,12.206349,9.7578125,0.42613637,10.8515625,1.5092592,21.336538,6.6177535,0.6180556,9.4140625,26.313889,31.94,13.0,17.24601,4.227649,25.94853,10.552885
2001-05-13,20,16.310345,20.418652,19.898438,20.0,14.6692705,32.13426,35.0,24.778986,15.652778,19.728516,32.16111,39.645,11.298611,28.454786,22.716059,35.360294,19.709135
2001-05-20,21,79.06896,37.13889,48.820312,11.931818,49.190105,8.75,9.288462,19.061594,13.583333,67.03711,23.141666,17.13,83.25694,24.918882,40.56043,22.588236,58.033653
2001-05-27,22,29.862068,32.121033,22.2625,9.363636,28.940104,8.898149,14.269231,39.088768,14.381945,21.615234,31.097221,12.205,34.493057,30.776596,14.206126,19.544117,21.91827
2001-06-03,23,40.668102,6.2440476,22.121876,2.153409,57.65625,4.462963,17.23077,1.692029,2.4270833,31.38086,14.127778,16.45,54.072918,14.485373,7.517384,14.220589,45.673077
2001-06-10,24,2.4698277,3.6924603,0.5828125,0.09090909,30.854166,1.6157408,2.7692308,0.63949275,0.3715278,0.671875,1.8527777,10.485,18.128471,1.8204787,1.2210265,6.882353,5.9783654
2001-06-17,25,16.831896,16.281746,12.6484375,10.965909,10.0390625,12.37963,30.173077,20.137682,14.84375,13.917969,26.291666,56.6,10.84375,23.820478,12.060431,39.036766,14.163462
2001-06-24,26,56.318966,61.857143,46.721874,43.153408,16.744791,48.842594,53.91346,59.875,60.97222,48.039062,55.702778,98.795,30.0,53.80186,57.38659,72.23529,52.576923
2001-07-01,27,7.0560346,2.8244047,3.8671875,9.201705,13.446614,17.409721,7.4711537,3.6802535,8.100695,5.586914,7.4347224,10.445,14.354167,2.9973404,9.200331,6.8014708,9.610577
2001-07-08,28,37.474136,9.390873,20.1125,11.818182,44.971355,15.037037,7.0576925,6.70471,10.940972,28.396484,5.5416665,16.905,45.260418,17.605053,11.288907,14.316176,44.298077
2001-07-15,29,83.25862,37.964287,57.146873,95.0,25.760416,107.138885,25.711538,55.90942,86.13194,73.82031,24.983334,37.98,38.020832,41.082447,103.75331,33.441177,41.221153
2001-07-22,30,36.474136,35.09722,31.33125,24.806818,33.802082,33.25463,47.66346,32.119564,21.54514,35.521484,45.39722,136.125,37.375,69.1875,24.768211,87.35294,34.545673
2001-07-29,31,0.0,0.07539683,5.6484375,0.0,0.0,0.083333336,0.0,0.42391303,0.0,0.02734375,0.044444446,0.12,0.0,0.041223403,0.0,0.22058824,0.0
2001-08-05,32,0.55172414,0.7797619,1.7640625,3.1420455,0.3203125,2.898148,0.0,0.76992756,0.6354167,1.3476562,0.05,0.06,0.041666668,0.09042553,6.1721854,0.073529415,1.5456731
