SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
11,21.434600493579605,21.738276873163578,19.612276063832756,22.373756176573888,22.988356787133092,22.39049580135861,24.520155116267524,22.971868498566863,22.910928895618117,20.194089059990624,23.42539344041172,23.881121324040496,22.953451244840288,20.666290180355745,18.904928132353334,23.769416865817256,21.1607804984995
12,20.507541339977365,21.049248034959156,18.77525148882523,21.709532718885512,22.11374811775326,21.74248834136217,23.987067542785113,22.391600801324227,22.342285299805045,19.275886193566166,22.84743942577808,23.369649570084647,22.079215393729193,20.0245040149334,18.12844036674821,23.240638322475608,20.292457167324674
13,19.779153962350108,20.19255060293527,17.89652762877592,20.983715055386224,21.45277679931844,21.017704460507346,23.15970139928879,21.62661805857869,21.71090158425199,18.470769810027562,21.9943703967338,22.545002553122387,21.37641141350205,19.164589665001166,17.29319071389945,22.403664301594176,19.581890806059313
14,19.848565650998854,20.0501626771752,17.88182755203721,20.793937416417258,21.451494471156803,20.870081915346045,22.997974089241584,21.40169191510089,21.451276291961072,18.51639160870701,21.866566024020635,22.533683051754522,21.39676192475102,19.115922555610226,17.185536645587398,22.30917826673056,19.618907183778255
15,19.381606368674888,19.730983015174296,17.475792852298497,20.569698975909322,20.928008520887307,20.565038742104708,22.745285306435633,21.197683706447055,21.229789409264196,18.143771904300653,21.584618758461694,22.18235092399577,20.872480258242046,18.684655473812512,16.955935229593457,21.991544094869536,19.202453369271723
16,17.846754951575242,18.400329184603336,16.065314385161106,19.243399670862015,19.30683476200287,19.29502329533011,21.568286381601943,20.03274562451251,20.029504968378173,16.645956106604284,20.329382839384536,21.03597605903194,19.241556017260756,17.404926028808305,15.540662194493018,20.795572305742777,17.64124685171801
17,17.30247045791901,17.70422225101162,15.415818012181699,18.581253960558346,18.775111544374003,18.444251687063367,20.98357302151338,19.461440645787626,19.394601295362946,16.07139288120248,19.73442852662652,20.42270180391173,18.68997505858138,16.693737947477576,14.895026628973971,20.197503137868445,17.15438446503765
18,16.68978279867381,17.181497235684507,14.972674280909594,18.004357297406308,18.16329321870444,17.905842497272076,20.38700273819637,18.959816312923678,18.868996196847608,15.518619076779238,19.156225713655548,20.080520964928393,18.077883476308877,16.28696687720253,14.38622817876683,19.720970272952563,16.587360155087598
19,15.244251869746618,15.826982247427836,13.52030254516331,16.803333989552087,16.67056112461669,16.868849864871343,19.223349373041714,17.702421143806756,17.624482637580826,14.090831257849093,17.901929147299235,18.70646973314311,16.59404763440828,14.836919113849056,13.006153593892737,18.406142383657556,15.139326604177368
20,14.602736956892173,15.23491797382135,12.933231859528712,15.986934599620954,16.05850156940768,15.997664061955042,18.603072526114328,17.109525088441526,16.98958855403146,13.475853488276323,17.325143871753248,18.196817533590725,15.917496807989467,14.350255636532975,12.452961272138825,17.88557674788682,14.565306136479597
21,14.715657391443829,15.231183090860657,12.953834914890347,16.180623335696403,16.127867987270623,16.16340695568954,18.496586951653395,17.132877669297258,17.02613587246949,13.535950747308634,17.206422280579933,18.108976199466262,16.041903870796144,14.30487344582561,12.459436143028737,17.800037064897573,14.638893732831805
22,13.378878008905065,13.86507646574903,11.640954984522756,14.749415693339847,14.757680113317347,14.754135007269134,17.35487445030546,15.833647294032108,15.726753438419559,12.255113153559552,15.8896569321042,16.790168036463445,14.660574576937554,12.952027801427626,11.047802490426443,16.512795619479363,13.26359966349409
23,13.891171983328565,14.097065323288762,12.005451041786884,15.18485418191978,15.17135655789266,15.131285822523452,17.346833059905915,15.811576020357206,16.05631748295577,12.68800411470025,15.860765042556828,16.95518776497751,15.19189506205813,13.230364000454786,11.443347730287382,16.60135483000843,13.708006043234924
24,14.563191682061941,14.323935872166397,12.413666193106582,15.426471759946573,15.907276232809073,15.317083968232499,17.33340679891603,15.93758090730147,16.195658691549955,13.274784404965969,15.967493901578894,16.95528909189682,15.897858205430758,13.449592630630148,11.957119540538711,16.65797795178139,14.45867991739849
