SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
16,23.895425343654637,24.089116660831834,22.330626928097608,24.56211613076074,25.26697487707583,24.135712999567254,26.166641520730956,24.561850068763633,24.619183775123552,22.78687672056149,25.72656238730955,26.01314089032196,25.296460306322253,23.489477227621983,21.03953091852293,25.97362930730831,23.615840777502548
17,23.49011438043268,23.604521738959274,21.92740420159557,24.077800231490816,24.794848409662595,23.635006735076317,25.69922110043184,24.109610966471884,24.07627083918353,22.446232286416777,25.254879880071204,25.62426897501367,24.904860595938782,22.958875122236368,20.67992461336173,25.579491999975158,23.24439850843178
18,22.535684732267754,23.071800378360216,21.365299852552308,23.315946964820228,23.742814900153306,22.67374251131232,25.121955216744205,23.541560146420963,23.437958882699508,21.648713579231494,24.67843514568775,25.26735294604237,23.750702760615404,22.66007864749427,19.794333062251198,25.131022655837924,22.325015642186703
19,21.00878181010753,21.55141497884478,19.60113056395259,22.15641487201055,22.319319986954696,21.702286743448813,23.947734383229957,22.358523335246296,22.25404494936919,19.96018472139425,23.41021112998533,23.704782063054907,22.384072632402987,20.892366908654235,18.309656771547505,23.668408064273002,20.83680182680608
20,20.325731181312864,20.7811121324893,18.992681809199418,21.484493296373458,21.59410146529722,20.89066276407917,23.181650351699517,21.666770378152428,21.68941963016637,19.34915049563645,22.59451362177201,23.06301662969461,21.61676799273399,20.203128617093835,17.7656554185899,23.01881009671086,20.2221503771219
21,20.044327372203618,20.693436688563462,18.65584940978882,21.669980492818922,21.372526275273344,21.119499382058322,23.142333852473225,21.77634943996281,21.771194033912014,19.099811747972556,22.490305042745746,22.93118929078958,21.376424220353943,19.941633031367314,17.732181118501295,22.88636901780817,19.93544628821936
22,19.02696134093492,19.563877717193,17.808864335201434,20.746500919773467,20.263161737002946,20.104905820819557,22.289035192773227,20.6579342370764,20.874230761667988,18.13970271610436,21.402024073084714,22.16154983685023,20.29996496925943,18.928954725631574,16.597528548781714,21.99853488496605,18.843649701121038
23,19.569751023399323,19.805489274840365,18.252180547037266,20.853380717436472,20.614447041051996,20.26223217305069,22.26786110980865,20.65894639254483,20.90979826443816,18.639036910182583,21.295992726313603,22.23061913477443,20.75666037021917,19.283697930046536,16.941469432979687,22.00148093572568,19.317508313083906
24,20.004342328860798,20.053695851999052,18.75150888610542,21.185044544424333,21.029653723015773,20.573243746223596,22.227567891157054,20.725928600697703,21.012414235378202,19.19522657212042,21.449718219905705,22.406032053492464,21.214633693069104,19.79713993648413,17.42925352769253,22.143853098128407,19.842129862250665
25,19.578009201550575,19.14188783070172,17.922194071569162,20.116506257454553,20.771880428051613,19.690130441339164,21.35164526847639,19.776248546669702,20.006011557233776,18.563437002083315,20.614898822602772,21.41723782624196,20.86996139080828,18.90597171714007,16.594548108678243,21.22412249600584,19.404421214684643
26,19.357318261071676,19.467043725300446,18.123763707337808,20.672285856235593,20.577308499077176,20.134503426717515,21.723783080098233,20.289087716555905,20.6252263344244,18.561095212490137,20.928818557821828,21.69475654344996,20.667063397808885,19.198828206320833,16.820520920221618,21.544696684835476,19.170947046164233
27,20.160090751083356,19.79602722096799,18.68908754250595,20.66717468256042,21.278765522514245,19.97801700616589,21.544266465857145,20.12996111254011,20.48161184837207,19.169749901967858,20.904056577839373,21.638529097307725,21.429764204080502,19.572065491157414,17.1575337751559,21.51916943223509,19.848559606492998
28,18.955444633282596,18.617922321169107,17.517480107513062,19.316869010613075,19.82769331996305,18.802859311588637,20.61146931695521,19.03099438835243,19.20263756205191,18.105141331465628,20.032398508542546,20.852953033010273,20.069505521137284,18.4705460890999,15.945100589787579,20.70890606180329,18.66002587418672
29,18.732161208095082,18.704470388131867,17.31918099610702,19.602555003336498,19.90597621482889,18.98792230186315,20.440326259379482,19.02019274666526,19.35221522075556,17.83802739239919,19.960361182737145,20.52439524457782,20.04778658279581,18.367934473888365,16.047517085735898,20.489278144015255,18.547341347203425
30,20.419624371473393,19.878954995242772,18.928419535102947,20.614248915513357,21.436771587270176,20.02180350788465,21.29523726037918,19.81757252902737,20.14266020002197,19.500420995096523,20.984598518602773,21.508713147505272,21.580902428277213,19.797355850753362,17.355700187147796,21.456602216448104,20.130986758679395
31,21.058473527925507,20.010184027899555,19.07713527550397,21.025147034724554,22.30219390135002,20.370780005878466,21.428883196327497,20.034679283845577,20.57986993418281,19.912985083244244,21.09357486018887,21.5998936489843,22.45391605662563,19.70571837928864,17.806588153744915,21.624327760442597,20.605865892284317
32,21.361928636656458,20.341771920550862,19.501138114594948,21.235201325700395,22.623665610072702,20.514232213843897,21.635267907301124,20.194620325777127,20.73793178849491,20.250157151849788,21.406631398609708,21.8752695106239,22.755278718425497,20.240048678367565,17.940630494478206,21.849977477198713,21.042984679670667
33,21.981532525095698,21.02060369853526,20.096398092314747,21.777004614614306,23.16320275478236,20.969046669006346,22.01291367922858,20.772124521666687,21.28376815465565,20.907673255944008,21.891912284388685,22.273362412208495,23.34969912403799,20.71187112245156,18.64739804048476,22.300323522459504,21.662049342242852
34,22.612375949628873,21.66201658465461,20.990006567058884,22.246662621214277,23.83841587430896,21.41358666649503,22.201040049739206,20.86291800786799,21.450244645923085,21.64454094312859,22.327259602435223,22.774263304970013,23.97220985419962,21.625683009197083,19.372246453315775,22.732530720630503,22.278979362593187
35,22.10580450605395,21.210790876498354,20.398526656811704,21.760509082646596,23.374187305938925,21.13994589963935,22.06407143362062,20.631713685290844,21.080122022778088,20.989389232425243,22.101042552766344,22.59648004824903,23.47731871196202,21.228118524751412,18.71371792691956,22.54224772921747,21.84236513871067
36,22.629574789565194,21.26126289019961,20.687322765898685,21.687479391750834,24.15240113686845,21.018701533903027,22.04801002124308,20.68236128868995,21.245789948106975,21.428780961127863,21.96061372491085,22.554070578623975,24.174153783974962,21.368843691516027,18.893765848546224,22.428526564670868,22.547055377716003
37,23.558869927969678,22.61298406330507,21.91700405373019,22.343828356720152,24.876263595569764,21.62135178390464,23.01762783740074,21.625267601736493,21.80897395072385,22.52320065878105,23.35386606269275,23.644737664400086,24.973165895156416,22.84256344175924,19.978430750136262,23.674529736065352,23.441493282086768
38,23.192153627402995,22.252010738295535,21.337474284980186,22.140016597622918,24.578414607383337,21.585953286218828,23.08724132215316,21.580437695292684,21.69132348204312,22.01553754403165,23.09626063336129,23.45787410987998,24.6180907494313,22.346945727370596,19.389122795499226,23.526994591057882,23.058922985261983
39,23.070788051796693,21.699009222618297,20.74472166619051,21.615595840641433,24.66628841713567,21.154297129165865,22.72771310144541,21.12897342511462,21.32249365543433,21.61690190910623,22.576503288401156,22.943589542933875,24.757065515223616,21.485563994416335,19.006862323722387,22.94522205248271,22.935904294988212
40,24.27887208474649,22.706176127980765,22.165249916828092,22.754171546413787,25.927952427444062,22.28532609696554,23.58400569771191,21.981211633994363,22.37094490465586,22.99787267790066,23.545423611793684,23.910660344352618,25.89382696166462,22.86549464249545,20.195366824505502,23.99182118126558,24.231867759401265
41,24.158730882229797,23.1467369657488,22.234807166765513,23.19301728387674,25.536796707305793,22.686700874682096,23.77841204851779,22.33916178872245,22.655935216481904,22.881694567801578,23.886584614807393,24.175749058119372,25.666779707684018,23.02691117170822,20.425267958396372,24.248826553583612,23.892736240628597
42,25.09870516846999,23.684549906960427,22.796536940225163,23.578123635053636,26.600045570582484,23.137421429510127,24.36167429531976,22.843529555798813,23.125753119108495,23.628586795364914,24.496344818676707,24.665263308861828,26.72376779003953,23.445385250594242,21.037931674478486,24.78202342419708,24.791279951260098
43,25.550934823525917,24.295570490721193,23.38630691186453,24.65857056135223,26.85670027805557,24.02977850689391,25.12211719168171,23.7426412801371,24.10363603192533,24.13424347713372,25.166655312178975,25.509678067158497,27.07996471220922,24.20460669918687,21.69497500524151,25.482677304889357,25.035463616404574
44,25.8749832176886,24.980853000876746,24.012453676222062,24.761194921703563,27.13770858708176,24.16236071460189,25.54979466563411,23.87091244219495,24.18887332539269,24.720389443645328,25.78057720877908,25.956186308385227,27.30084655897958,24.7097863941019,22.187642475579395,26.007005086327716,25.375406723639394
45,25.973268212376105,24.537654227275073,23.620670705928987,24.429595479397545,27.422331968938575,23.97890861098831,25.225747882186848,23.643068798887576,23.95478393416582,24.502530570958143,25.38324178515678,25.32048311876158,27.64127461753757,24.241372199124577,21.73979923347541,25.49561419701623,25.54319491247604
46,26.26966830922523,25.70109842837238,24.408092117292643,25.59158472435815,27.59676940872791,24.87944620542391,26.31626132687049,24.81492489404059,25.199060215511437,25.07340710980015,26.544488115351957,26.63633135104115,27.756075013760892,25.366950388486835,22.66550063411462,26.773986619176693,25.63118751628701
47,27.111159626532398,26.283495036045878,25.21232910427036,26.089650323504493,28.308928839106812,25.525870688645842,26.706645597452326,25.255532085388978,25.51613831966124,25.987421178399376,26.99776712630631,26.83940390296381,28.531169543395173,25.808209758769113,23.606263097433608,27.119328320646943,26.353051597924246
48,27.555395898806697,26.272599805575695,25.3430645391977,26.00451891110057,28.78309227142221,25.421652560338398,26.812044011107687,25.311079374992072,25.501784215579995,26.23337753873038,26.97650769082602,26.801006645963522,29.055309892602867,25.83769654449475,23.641025878963227,27.04453762181351,26.828297724299674
49,27.27540182312483,26.723715756341086,25.56305446753379,26.29460959428833,28.448820880915306,25.7664686192202,27.342518131489655,26.009668402535578,25.890306893664096,26.255690945838783,27.67337903532218,27.489520967077375,28.611174041792232,26.28206672185393,24.02019290785306,27.7219073478863,26.620209994097603
50,28.08698217227499,27.45010689623574,26.275261329948744,27.091106786444076,29.54593325617047,26.531087109235568,27.726374360687878,26.519975445933156,26.438387402499025,26.970835060038098,28.227119615893344,27.816645732992743,29.64038912916736,26.68353426908758,24.886004136751083,28.152560226679316,27.32145155724168
51,28.1074726343339,28.000528093736563,26.552924971356262,27.40574619525955,29.31587887569854,26.884167088296266,28.59809685554171,27.217644452994207,26.966638982030045,27.086340988704137,28.991653752644858,28.909767207019737,29.480752276785125,27.19283065296229,25.123551438197666,29.039901571852354,27.237967817686958
52,27.970785833626334,27.83432415313558,26.484648921631457,27.30979792140779,29.41265457650276,26.844027946796196,28.492987554789284,27.110401603995978,27.016128442170803,26.951057474631963,28.835392448061988,28.480165467480766,29.495195703911506,27.098691073720712,25.101781432864694,28.721614164886176,27.197177350951655
53,27.105702344975416,26.88190769285027,25.221355351390514,26.401879934327944,28.3820574673611,26.091292736613152,28.250296548226135,26.7514270872884,26.27802715352837,25.953967111049003,28.360759702905433,28.312881785261663,28.424992214298616,26.11723142902418,23.888514748540914,28.35720674865633,26.2083434380611
